publishAt,publishedAtDate,stars
bir gün önce,2026-04-10T15:07:51.721Z,5
3 gün önce düzenlendi,2026-04-07T21:34:32.921Z,5
4 gün önce düzenlendi,2026-04-06T20:59:59.928Z,5
6 gün önce,2026-04-05T18:08:05.564Z,5
6 gün önce,2026-04-04T23:52:33.322Z,1
bir hafta önce,2026-04-04T07:48:03.776Z,5
bir hafta önce,2026-04-03T19:26:03.609Z,5
bir hafta önce,2026-04-01T19:33:18.559Z,5
bir hafta önce,2026-03-31T21:21:07.404Z,5
bir hafta önce,2026-03-30T14:58:54.732Z,5
bir hafta önce,2026-03-30T09:26:36.100Z,1
bir hafta önce,2026-03-29T10:04:56.873Z,4
2 hafta önce,2026-03-27T08:59:00.402Z,5
2 hafta önce,2026-03-26T16:20:30.732Z,5
2 hafta önce,2026-03-26T08:51:38.058Z,5
2 hafta önce,2026-03-26T05:38:44.649Z,5
2 hafta önce,2026-03-25T17:46:42.547Z,5
2 hafta önce,2026-03-25T10:34:17.933Z,5
2 hafta önce,2026-03-24T20:25:14.298Z,5
2 hafta önce,2026-03-24T19:48:25.439Z,5
2 hafta önce,2026-03-24T05:39:08.030Z,5
2 hafta önce,2026-03-24T05:01:28.121Z,5
2 hafta önce,2026-03-21T21:27:54.031Z,1
2 hafta önce,2026-03-21T21:15:11.568Z,5
3 hafta önce,2026-03-21T18:23:29.763Z,4
3 hafta önce,2026-03-21T14:26:15.659Z,5
3 hafta önce,2026-03-21T11:30:56.180Z,1
3 hafta önce,2026-03-21T09:41:01.426Z,5
3 hafta önce,2026-03-21T04:20:40.276Z,5
3 hafta önce,2026-03-21T00:06:54.368Z,5
3 hafta önce,2026-03-20T16:39:57.357Z,3
3 hafta önce,2026-03-18T14:45:44.212Z,5
3 hafta önce,2026-03-17T17:48:56.486Z,4
3 hafta önce,2026-03-17T16:15:03.780Z,2
3 hafta önce,2026-03-16T20:53:10.563Z,5
3 hafta önce,2026-03-16T19:49:38.424Z,5
3 hafta önce,2026-03-16T08:44:14.510Z,3
3 hafta önce,2026-03-15T11:22:07.076Z,1
4 hafta önce,2026-03-12T18:06:44.829Z,1
bir ay önce,2026-03-10T06:04:21.074Z,5
bir ay önce,2026-03-10T00:41:33.801Z,5
bir ay önce,2026-03-09T04:30:19.140Z,1
bir ay önce,2026-03-08T19:08:15.450Z,5
bir ay önce,2026-03-08T18:30:52.223Z,5
bir ay önce,2026-03-08T13:35:15.969Z,5
bir ay önce,2026-03-08T11:29:47.450Z,1
bir ay önce,2026-03-07T15:10:33.313Z,5
bir ay önce,2026-03-07T12:52:30.852Z,5
bir ay önce,2026-03-07T09:56:56.244Z,5
bir ay önce,2026-03-05T13:23:01.227Z,5
bir ay önce,2026-03-04T04:13:15.201Z,4
bir ay önce,2026-02-28T19:11:27.180Z,5
bir ay önce,2026-02-27T21:05:23.566Z,5
bir ay önce,2026-02-27T09:33:11.705Z,5
bir ay önce,2026-02-25T15:24:35.102Z,5
bir ay önce,2026-02-24T19:33:55.579Z,5
bir ay önce,2026-02-21T21:03:30.616Z,1
bir ay önce,2026-02-21T13:12:17.587Z,5
bir ay önce düzenlendi,2026-02-20T19:45:29.562Z,5
bir ay önce,2026-02-20T15:02:29.520Z,5
bir ay önce,2026-02-19T12:39:37.121Z,4
bir ay önce,2026-02-18T01:37:37.175Z,5
bir ay önce,2026-02-15T18:55:52.102Z,5
bir ay önce,2026-02-15T17:17:17.820Z,5
bir ay önce,2026-02-15T08:40:47.096Z,5
bir ay önce,2026-02-12T10:03:16.651Z,5
bir ay önce,2026-02-12T09:48:59.732Z,5
bir ay önce,2026-02-12T06:03:22.515Z,5
2 ay önce,2026-02-11T14:49:32.001Z,1
2 ay önce,2026-02-09T23:52:15.578Z,5
2 ay önce,2026-02-09T15:42:51.214Z,1
2 ay önce düzenlendi,2026-02-09T07:39:02.483Z,5
2 ay önce,2026-02-08T09:32:00.027Z,1
2 ay önce,2026-02-08T09:20:40.264Z,1
2 ay önce,2026-02-08T04:22:48.520Z,3
2 ay önce,2026-02-07T23:20:42.005Z,5
2 ay önce,2026-02-07T21:58:56.695Z,3
2 ay önce,2026-02-07T17:32:31.917Z,4
2 ay önce,2026-02-06T07:07:31.226Z,5
2 ay önce,2026-02-06T04:38:44.254Z,5
2 ay önce,2026-02-05T11:23:56.898Z,4
2 ay önce,2026-02-02T20:29:23.723Z,4
2 ay önce,2026-02-02T16:06:51.463Z,5
2 ay önce,2026-02-01T13:40:50.938Z,4
2 ay önce,2026-01-31T11:07:23.880Z,5
2 ay önce,2026-01-30T15:53:30.393Z,3
2 ay önce,2026-01-30T10:21:09.110Z,1
2 ay önce,2026-01-29T17:31:43.437Z,5
2 ay önce,2026-01-28T19:19:02.691Z,5
2 ay önce düzenlendi,2026-01-27T08:55:44.715Z,4
2 ay önce düzenlendi,2026-01-24T12:34:32.518Z,5
2 ay önce,2026-01-22T08:36:03.008Z,5
2 ay önce,2026-01-19T13:41:49.532Z,5
2 ay önce,2026-01-18T18:05:24.960Z,5
2 ay önce düzenlendi,2026-01-17T17:23:35.262Z,4
2 ay önce,2026-01-17T16:14:08.394Z,5
3 ay önce,2026-01-11T09:58:52.524Z,4
