publishAt,publishedAtDate,stars
2 gün önce düzenlendi,2026-04-08T18:51:07.333Z,4
2 hafta önce,2026-03-26T10:58:31.093Z,5
2 hafta önce,2026-03-25T16:02:43.056Z,5
3 hafta önce,2026-03-21T18:00:13.182Z,5
2 ay önce düzenlendi,2026-01-30T12:14:38.886Z,5
2 ay önce düzenlendi,2026-01-15T17:49:23.995Z,3
3 ay önce,2026-01-10T11:25:38.425Z,5
3 ay önce,2026-01-03T16:24:15.686Z,5
3 ay önce,2025-12-26T18:53:50.090Z,4
3 ay önce düzenlendi,2025-12-24T10:38:55.497Z,5
3 ay önce,2025-12-14T16:40:43.808Z,5
3 ay önce,2025-12-12T08:01:54.524Z,5
4 ay önce,2025-12-01T19:18:01.549Z,5
4 ay önce,2025-12-01T05:32:26.753Z,1
4 ay önce,2025-11-24T12:10:16.190Z,5
4 ay önce,2025-11-20T09:33:23.285Z,5
4 ay önce,2025-11-15T20:03:14.350Z,5
4 ay önce,2025-11-13T19:13:04.882Z,3
5 ay önce,2025-11-11T17:10:17.203Z,5
5 ay önce,2025-11-10T20:48:46.421Z,1
5 ay önce,2025-11-10T10:15:12.040Z,5
5 ay önce,2025-11-09T18:39:53.597Z,5
5 ay önce düzenlendi,2025-11-08T07:25:52.478Z,5
5 ay önce,2025-11-06T04:37:17.507Z,5
5 ay önce,2025-11-05T10:13:40.032Z,5
5 ay önce,2025-11-05T09:45:28.953Z,4
5 ay önce,2025-11-05T05:55:59.714Z,5
5 ay önce,2025-11-05T03:46:45.157Z,5
5 ay önce,2025-11-04T13:10:26.819Z,5
5 ay önce,2025-11-04T12:03:00.397Z,5
5 ay önce,2025-11-01T15:03:06.917Z,5
5 ay önce,2025-10-31T19:45:34.072Z,5
5 ay önce,2025-10-29T15:17:56.565Z,5
5 ay önce,2025-10-28T16:58:15.540Z,1
5 ay önce,2025-10-26T19:17:29.894Z,5
5 ay önce,2025-10-25T18:59:08.941Z,5
5 ay önce,2025-10-25T18:51:55.001Z,5
5 ay önce,2025-10-25T11:53:48.676Z,5
5 ay önce,2025-10-23T13:00:11.313Z,5
5 ay önce,2025-10-20T13:16:08.616Z,5
5 ay önce,2025-10-18T13:46:05.659Z,5
5 ay önce,2025-10-18T08:05:35.284Z,5
5 ay önce,2025-10-16T14:48:49.824Z,5
5 ay önce,2025-10-16T09:14:23.449Z,5
5 ay önce,2025-10-13T08:53:24.619Z,4
5 ay önce,2025-10-12T20:03:58.173Z,4
6 ay önce,2025-10-11T12:49:26.997Z,5
6 ay önce,2025-10-11T10:04:34.844Z,1
6 ay önce,2025-10-09T20:56:14.839Z,5
6 ay önce,2025-10-07T21:56:20.673Z,4
6 ay önce,2025-10-04T20:04:17.205Z,5
6 ay önce,2025-10-01T09:05:58.548Z,5
6 ay önce,2025-09-30T10:09:16.359Z,5
6 ay önce,2025-09-30T10:05:35.029Z,5
6 ay önce düzenlendi,2025-09-29T19:44:18.749Z,5
6 ay önce,2025-09-26T07:07:18.789Z,5
6 ay önce,2025-09-26T05:46:52.785Z,5
6 ay önce,2025-09-24T04:28:53.788Z,5
6 ay önce,2025-09-23T11:03:28.746Z,5
6 ay önce,2025-09-22T18:32:12.463Z,5
6 ay önce,2025-09-21T20:48:31.925Z,5
6 ay önce,2025-09-21T09:55:44.826Z,5
6 ay önce,2025-09-21T04:16:56.486Z,5
6 ay önce,2025-09-20T16:48:14.002Z,5
6 ay önce,2025-09-19T18:58:24.908Z,5
6 ay önce,2025-09-16T14:10:18.197Z,3
6 ay önce,2025-09-16T12:59:04.583Z,5
6 ay önce,2025-09-15T12:17:37.725Z,5
6 ay önce,2025-09-14T09:30:18.986Z,5
6 ay önce,2025-09-11T21:38:46.877Z,5
7 ay önce,2025-09-08T13:49:16.920Z,5
7 ay önce,2025-09-08T06:15:42.443Z,5
7 ay önce,2025-09-07T20:35:30.430Z,5
7 ay önce,2025-09-07T05:04:38.658Z,5
7 ay önce,2025-09-06T16:36:07.591Z,5
7 ay önce,2025-09-06T07:16:43.643Z,4
7 ay önce,2025-09-05T19:04:36.147Z,2
7 ay önce,2025-09-05T16:49:22.974Z,5
7 ay önce düzenlendi,2025-09-05T14:58:23.569Z,5
7 ay önce,2025-09-03T18:47:32.044Z,4
7 ay önce,2025-09-03T16:24:49.222Z,5
7 ay önce,2025-09-03T15:27:54.779Z,5
7 ay önce,2025-09-03T09:35:41.970Z,5
7 ay önce,2025-09-03T02:58:32.828Z,5
7 ay önce,2025-09-02T19:32:08.807Z,5
7 ay önce,2025-09-02T16:50:45.558Z,4
7 ay önce,2025-09-02T09:10:11.980Z,5
7 ay önce,2025-09-02T07:39:54.535Z,5
7 ay önce,2025-09-01T19:36:25.700Z,5
7 ay önce,2025-08-31T19:56:03.512Z,5
7 ay önce,2025-08-31T17:37:03.088Z,5
7 ay önce,2025-08-31T13:53:30.510Z,5
7 ay önce,2025-08-31T07:10:48.110Z,2
7 ay önce,2025-08-30T18:16:18.641Z,5
7 ay önce,2025-08-30T15:47:27.926Z,4
7 ay önce düzenlendi,2025-08-30T09:16:12.172Z,3
7 ay önce,2025-08-29T20:06:53.323Z,1
7 ay önce,2025-08-29T17:28:08.485Z,5
7 ay önce,2025-08-29T14:32:04.715Z,5
7 ay önce,2025-08-28T20:59:01.804Z,5
7 ay önce,2025-08-28T12:22:04.927Z,5
7 ay önce,2025-08-28T11:43:43.818Z,5
7 ay önce,2025-08-28T10:55:17.435Z,5
7 ay önce,2025-08-28T09:28:35.673Z,5
7 ay önce,2025-08-27T19:59:09.273Z,4
7 ay önce,2025-08-27T11:24:34.503Z,4
7 ay önce,2025-08-27T08:55:53.537Z,3
7 ay önce,2025-08-26T19:13:14.935Z,3
7 ay önce,2025-08-26T11:29:13.961Z,4
7 ay önce düzenlendi,2025-08-25T21:03:15.459Z,5
7 ay önce düzenlendi,2025-08-25T09:57:12.380Z,5
7 ay önce,2025-08-25T09:13:39.107Z,5
7 ay önce,2025-08-24T19:32:53.285Z,4
7 ay önce,2025-08-24T18:23:46.503Z,5
7 ay önce,2025-08-24T15:36:10.411Z,5
7 ay önce,2025-08-24T10:53:19.977Z,5
7 ay önce,2025-08-24T08:33:47.610Z,5
7 ay önce,2025-08-24T07:42:07.860Z,2
7 ay önce,2025-08-23T08:12:38.653Z,5
7 ay önce,2025-08-23T04:57:06.904Z,1
7 ay önce,2025-08-22T16:22:52.646Z,5
7 ay önce,2025-08-22T16:04:36.954Z,5
7 ay önce,2025-08-22T03:57:36.742Z,4
7 ay önce,2025-08-21T20:47:58.791Z,5
7 ay önce,2025-08-21T06:19:42.259Z,5
7 ay önce,2025-08-19T19:27:03.792Z,5
7 ay önce,2025-08-19T17:39:36.915Z,5
7 ay önce,2025-08-19T10:17:19.638Z,5
7 ay önce,2025-08-19T09:26:03.788Z,5
7 ay önce,2025-08-18T20:13:32.731Z,4
7 ay önce düzenlendi,2025-08-18T18:44:22.752Z,5
7 ay önce,2025-08-18T16:25:32.816Z,3
7 ay önce,2025-08-18T06:52:53.197Z,5
7 ay önce,2025-08-17T16:20:23.057Z,1
7 ay önce,2025-08-17T12:01:36.786Z,5
7 ay önce,2025-08-17T10:11:07.973Z,5
7 ay önce,2025-08-17T07:17:18.664Z,3
7 ay önce,2025-08-16T16:54:14.780Z,5
7 ay önce,2025-08-16T15:11:53.175Z,5
7 ay önce,2025-08-16T12:21:11.264Z,5
7 ay önce,2025-08-16T11:31:01.282Z,5
7 ay önce,2025-08-16T10:32:54.823Z,5
7 ay önce,2025-08-15T20:20:46.008Z,5
7 ay önce,2025-08-15T18:44:28.230Z,5
7 ay önce,2025-08-15T17:56:38.307Z,1
7 ay önce,2025-08-15T17:47:44.231Z,5
7 ay önce,2025-08-15T14:48:45.423Z,5
7 ay önce,2025-08-15T13:51:56.874Z,5
7 ay önce,2025-08-15T13:18:02.802Z,5
7 ay önce,2025-08-14T14:31:45.922Z,5
7 ay önce,2025-08-14T13:28:55.428Z,3
7 ay önce,2025-08-13T17:12:12.235Z,5
7 ay önce,2025-08-13T14:35:55.894Z,3
7 ay önce,2025-08-13T08:01:17.681Z,5
7 ay önce,2025-08-13T06:19:01.586Z,5
7 ay önce,2025-08-13T04:05:46.086Z,5
7 ay önce düzenlendi,2025-08-12T21:13:52.418Z,5
7 ay önce,2025-08-12T20:19:36.472Z,5
7 ay önce,2025-08-12T15:17:35.609Z,5
8 ay önce düzenlendi,2025-08-11T14:15:49.461Z,5
8 ay önce,2025-08-11T08:58:47.353Z,5
8 ay önce,2025-08-10T14:34:37.803Z,2
8 ay önce,2025-08-10T11:29:39.034Z,5
8 ay önce,2025-08-10T10:32:10.367Z,5
8 ay önce,2025-08-09T16:16:34.959Z,5
8 ay önce,2025-08-09T10:52:17.738Z,5
8 ay önce düzenlendi,2025-08-08T21:15:39.131Z,5
8 ay önce,2025-08-08T12:43:42.521Z,5
8 ay önce,2025-08-07T19:11:31.698Z,5
8 ay önce,2025-08-07T17:21:43.703Z,5
8 ay önce,2025-08-07T17:18:12.460Z,5
8 ay önce,2025-08-06T23:46:58.930Z,5
8 ay önce,2025-08-06T19:09:37.272Z,4
8 ay önce,2025-08-06T18:12:30.091Z,5
8 ay önce,2025-08-06T08:42:05.795Z,5
8 ay önce,2025-08-06T07:00:23.493Z,5
8 ay önce,2025-08-05T17:42:04.821Z,5
8 ay önce,2025-08-05T07:33:04.157Z,5
8 ay önce,2025-08-04T18:18:08.320Z,5
8 ay önce düzenlendi,2025-08-04T17:40:38.205Z,5
8 ay önce,2025-08-04T12:15:28.124Z,5
8 ay önce,2025-08-04T04:04:26.721Z,5
8 ay önce,2025-08-03T15:30:50.259Z,5
8 ay önce,2025-08-03T12:55:36.355Z,5
8 ay önce,2025-08-03T12:33:12.015Z,5
8 ay önce,2025-08-02T22:03:31.421Z,5
8 ay önce,2025-08-02T20:28:05.929Z,5
8 ay önce,2025-08-02T06:33:44.924Z,5
8 ay önce,2025-08-01T10:22:53.314Z,5
8 ay önce,2025-08-01T07:23:19.125Z,5
8 ay önce,2025-07-31T20:29:00.474Z,3
8 ay önce,2025-07-31T20:24:25.429Z,5
8 ay önce,2025-07-31T19:32:45.705Z,5
8 ay önce,2025-07-31T08:23:24.984Z,2
8 ay önce,2025-07-31T03:19:16.180Z,3
8 ay önce,2025-07-30T23:01:10.917Z,5
8 ay önce,2025-07-30T19:20:52.640Z,5
8 ay önce,2025-07-30T18:49:22.115Z,5
8 ay önce,2025-07-30T10:26:50.352Z,5
8 ay önce,2025-07-30T09:41:54.067Z,4
8 ay önce,2025-07-29T13:59:59.733Z,5
8 ay önce,2025-07-29T12:46:13.908Z,5
8 ay önce,2025-07-28T13:57:24.916Z,5
8 ay önce,2025-07-28T04:15:28.729Z,5
8 ay önce,2025-07-27T16:33:29.523Z,5
8 ay önce,2025-07-27T15:05:44.742Z,5
8 ay önce,2025-07-27T14:56:18.781Z,5
8 ay önce,2025-07-27T14:17:40.319Z,5
8 ay önce,2025-07-27T09:46:48.056Z,5
8 ay önce,2025-07-27T07:23:43.272Z,5
8 ay önce,2025-07-27T04:14:08.442Z,4
8 ay önce,2025-07-26T06:39:54.540Z,4
8 ay önce düzenlendi,2025-07-25T10:06:59.084Z,3
8 ay önce,2025-07-25T08:57:53.169Z,5
8 ay önce,2025-07-24T18:02:00.816Z,5
8 ay önce,2025-07-24T14:16:22.754Z,4
8 ay önce,2025-07-24T13:20:42.410Z,5
8 ay önce,2025-07-24T12:54:25.392Z,5
8 ay önce,2025-07-23T18:18:42.389Z,4
8 ay önce,2025-07-23T15:40:31.423Z,3
8 ay önce,2025-07-23T15:09:49.825Z,5
8 ay önce,2025-07-23T07:08:05.417Z,5
8 ay önce,2025-07-23T06:37:32.711Z,5
8 ay önce,2025-07-22T05:26:23.816Z,5
8 ay önce,2025-07-22T04:48:40.186Z,5
8 ay önce düzenlendi,2025-07-21T16:33:46.404Z,5
8 ay önce,2025-07-20T22:17:50.555Z,3
8 ay önce,2025-07-20T12:40:03.144Z,5
8 ay önce,2025-07-20T12:27:05.415Z,5
8 ay önce,2025-07-20T10:54:06.490Z,1
8 ay önce,2025-07-20T09:20:05.179Z,4
8 ay önce,2025-07-20T08:07:04.039Z,5
8 ay önce,2025-07-19T16:39:12.619Z,5
8 ay önce,2025-07-18T17:10:00.332Z,5
8 ay önce,2025-07-18T08:46:36.624Z,1
8 ay önce,2025-07-17T19:29:23.432Z,5
8 ay önce,2025-07-17T09:35:02.591Z,5
8 ay önce,2025-07-17T05:27:00.766Z,5
8 ay önce,2025-07-16T19:24:55.606Z,4
8 ay önce,2025-07-16T19:15:00.986Z,5
8 ay önce,2025-07-16T19:02:47.914Z,4
8 ay önce,2025-07-16T16:15:50.105Z,4
8 ay önce,2025-07-16T10:58:15.356Z,5
8 ay önce,2025-07-16T03:48:30.091Z,3
8 ay önce,2025-07-16T03:26:05.034Z,5
8 ay önce,2025-07-15T17:54:44.820Z,5
8 ay önce,2025-07-15T07:11:07.649Z,5
8 ay önce,2025-07-15T05:00:36.086Z,5
8 ay önce,2025-07-14T18:50:04.438Z,1
8 ay önce,2025-07-14T17:19:31.211Z,5
8 ay önce,2025-07-14T10:22:39.220Z,5
8 ay önce,2025-07-14T10:13:38.591Z,5
8 ay önce,2025-07-14T10:09:44.471Z,4
8 ay önce,2025-07-14T09:20:27.244Z,2
8 ay önce,2025-07-14T07:08:40.144Z,5
8 ay önce,2025-07-13T19:31:40.965Z,4
8 ay önce,2025-07-13T18:14:02.143Z,5
