,Erfelek Tatlıca Şelaleleri - Sinop_temp,Erfelek Tatlıca Şelaleleri - Sinop_prcp,Erfelek Tatlıca Şelaleleri - Sinop_snow,Erfelek Tatlıca Şelaleleri - Sinop_rain,Erfelek Tatlıca Şelaleleri - Sinop_tmin,Erfelek Tatlıca Şelaleleri - Sinop_tmax,Erfelek Tatlıca Şelaleleri - Sinop_wspd,Erfelek Tatlıca Şelaleleri - Sinop_rhum
2021-12-31,6.54,2.45,0.0,2.45,5.0,8.03,13.73,88.19
2022-01-01,6.37,2.36,0.0,2.36,5.21,7.62,9.73,91.48
2022-01-02,5.6,8.0,0.0,8.0,4.03,7.01,31.81,81.78
2022-01-03,5.37,1.4,0.0,1.4,0.97,8.5,12.14,61.09
2022-01-04,7.93,1.94,0.0,1.94,5.57,10.25,16.89,75.54
2022-01-05,9.59,0.66,0.0,0.66,4.06,15.16,10.44,60.2
2022-01-06,12.61,0.0,0.0,0.0,7.34,18.51,11.41,51.78
2022-01-07,9.35,0.67,0.0,0.67,6.72,13.36,10.59,75.39
2022-01-08,7.66,0.6,0.0,0.6,6.31,9.05,15.51,90.05
2022-01-09,9.88,0.0,0.0,0.0,5.8,14.25,9.05,68.72
2022-01-10,10.45,0.05,0.0,0.05,6.38,14.79,8.55,62.12
2022-01-11,6.96,0.2,0.0,0.2,3.7,9.7,7.37,80.34
2022-01-12,3.27,9.03,0.0,9.03,0.26,5.83,18.8,92.34
2022-01-13,-0.08,6.65,6.65,0.0,-0.79,1.06,24.05,76.55
2022-01-14,1.04,0.09,0.09,0.0,-1.71,2.98,13.31,68.17
2022-01-15,2.46,7.09,0.0,7.09,0.74,4.46,34.29,74.01
2022-01-16,1.15,14.18,14.18,0.0,-1.0,3.05,19.55,79.13
2022-01-17,3.09,2.51,0.0,2.51,-0.43,6.09,9.52,65.16
2022-01-18,1.49,2.82,2.82,0.0,-1.57,4.62,23.91,64.05
2022-01-19,-1.02,12.39,12.39,0.0,-2.77,0.49,20.11,81.16
2022-01-20,0.62,3.39,3.39,0.0,-1.5,3.52,16.67,68.12
2022-01-21,4.95,1.03,0.0,1.03,1.11,7.63,14.64,54.68
2022-01-22,-0.27,11.21,11.21,0.0,-1.74,2.44,11.16,90.78
2022-01-23,-0.72,17.69,17.69,0.0,-1.99,1.52,17.2,88.82
2022-01-24,0.31,3.13,3.13,0.0,-1.33,1.77,20.35,72.89
2022-01-25,-0.28,0.78,0.78,0.0,-3.95,2.66,10.07,73.0
2022-01-26,-1.15,3.27,3.27,0.0,-2.7,1.06,13.45,85.42
2022-01-27,0.03,4.41,4.41,0.0,-2.69,3.02,16.14,80.4
2022-01-28,2.15,3.24,0.0,3.24,-1.56,6.08,10.62,66.56
2022-01-29,3.38,0.74,0.0,0.74,0.3,6.02,14.35,63.98
2022-01-30,2.56,0.34,0.0,0.34,-0.64,6.33,7.32,71.26
2022-01-31,3.65,0.0,0.0,0.0,0.51,7.3,10.36,70.45
2022-02-01,3.75,0.0,0.0,0.0,-0.94,7.38,9.95,63.36
2022-02-02,9.2,3.1,0.0,3.1,4.99,11.71,13.5,57.26
2022-02-03,8.24,1.57,0.0,1.57,4.14,11.92,15.28,67.64
2022-02-04,1.62,5.06,5.06,0.0,-0.3,3.31,28.93,78.38
2022-02-05,2.04,2.05,0.0,2.05,-0.97,4.46,12.1,71.05
2022-02-06,3.2,0.83,0.0,0.83,0.64,6.16,11.68,74.65
2022-02-07,6.76,0.18,0.0,0.18,-0.48,11.93,14.53,57.68
2022-02-08,8.6,1.25,0.0,1.25,5.06,12.71,11.73,63.0
2022-02-09,3.28,5.41,0.0,5.41,2.13,4.68,21.15,84.75
2022-02-10,3.42,1.82,0.0,1.82,1.87,4.92,14.62,75.75
2022-02-11,3.4,0.11,0.0,0.11,-1.29,6.76,7.59,71.41
2022-02-12,6.21,0.0,0.0,0.0,0.0,12.28,13.5,63.87
2022-02-13,3.31,0.53,0.0,0.53,2.43,4.47,19.04,80.28
2022-02-14,3.36,0.0,0.0,0.0,1.31,5.18,9.37,75.4
2022-02-15,3.9,0.05,0.0,0.05,2.18,5.6,6.55,81.42
2022-02-16,4.02,0.0,0.0,0.0,-1.22,7.49,9.93,76.65
2022-02-17,6.28,0.0,0.0,0.0,1.47,10.95,9.73,63.92
2022-02-18,7.58,1.57,0.0,1.57,4.0,12.43,17.55,61.16
2022-02-19,4.79,2.6,0.0,2.6,2.66,6.47,13.61,81.16
2022-02-20,7.73,0.11,0.0,0.11,1.94,12.54,6.97,58.3
2022-02-21,6.81,0.0,0.0,0.0,5.48,8.33,10.22,73.21
2022-02-22,8.69,0.0,0.0,0.0,4.15,13.19,8.97,72.09
2022-02-23,8.64,0.05,0.0,0.05,5.13,12.81,7.45,74.26
2022-02-24,5.78,3.1,0.0,3.1,4.93,6.54,10.11,94.63
2022-02-25,5.29,11.17,0.0,11.17,4.54,5.93,18.89,95.08
2022-02-26,4.84,2.14,0.0,2.14,3.78,6.13,27.4,82.81
2022-02-27,4.91,0.05,0.0,0.05,3.29,6.42,8.83,84.77
2022-02-28,5.79,5.18,0.0,5.18,4.03,8.89,16.66,88.24
2022-03-01,4.71,7.33,0.0,7.33,3.04,7.26,13.88,79.08
2022-03-02,2.61,8.77,0.0,8.77,1.74,3.6,8.0,86.46
2022-03-03,1.19,20.24,20.24,0.0,-1.76,3.01,18.72,88.12
2022-03-04,2.39,4.57,0.0,4.57,0.14,5.1,18.46,79.71
2022-03-05,3.3,0.48,0.0,0.48,-0.38,7.11,8.9,75.8
2022-03-06,3.46,0.18,0.0,0.18,1.46,4.54,9.81,78.29
2022-03-07,5.02,2.65,0.0,2.65,2.93,7.61,18.45,83.94
2022-03-08,2.71,2.65,0.0,2.65,1.03,3.96,14.57,79.18
2022-03-09,0.12,8.88,8.88,0.0,-1.31,2.16,10.76,87.19
2022-03-10,0.35,2.02,2.02,0.0,-1.9,2.43,12.26,77.49
2022-03-11,-1.39,4.07,4.07,0.0,-3.0,0.13,19.99,77.98
2022-03-12,-1.45,0.46,0.46,0.0,-4.05,1.01,16.49,67.87
2022-03-13,-0.68,2.17,2.17,0.0,-3.26,2.05,17.55,73.76
2022-03-14,-0.81,3.22,3.22,0.0,-2.63,1.14,11.5,79.86
2022-03-15,0.6,2.7,2.7,0.0,-1.61,3.35,16.58,78.44
2022-03-16,2.65,0.46,0.0,0.46,-0.03,5.18,13.83,69.31
2022-03-17,-0.16,2.4,2.4,0.0,-2.23,1.57,9.15,80.46
2022-03-18,-2.15,4.02,4.02,0.0,-3.59,-0.71,11.83,78.77
2022-03-19,-1.62,6.19,6.19,0.0,-3.81,0.07,14.68,82.15
2022-03-20,0.51,2.59,2.59,0.0,-1.51,1.77,21.11,78.66
2022-03-21,2.19,0.69,0.0,0.69,0.03,4.7,13.3,69.72
2022-03-22,3.15,0.05,0.0,0.05,0.6,5.3,11.38,73.75
2022-03-23,3.51,0.62,0.0,0.62,-0.2,6.25,9.58,76.97
2022-03-24,3.14,0.94,0.0,0.94,2.03,4.78,15.44,79.91
2022-03-25,5.04,0.37,0.0,0.37,1.68,8.66,12.89,58.38
2022-03-26,4.24,0.28,0.0,0.28,2.45,6.49,21.4,75.69
2022-03-27,6.3,0.0,0.0,0.0,0.07,12.12,18.63,59.37
2022-03-28,4.94,0.0,0.0,0.0,0.35,8.03,11.6,65.37
2022-03-29,8.24,0.0,0.0,0.0,3.66,13.11,9.72,65.48
2022-03-30,11.5,0.0,0.0,0.0,6.71,15.88,8.76,54.44
