,Gölcük Tabiat Parkı - Bolu_temp,Gölcük Tabiat Parkı - Bolu_prcp,Gölcük Tabiat Parkı - Bolu_snow,Gölcük Tabiat Parkı - Bolu_rain,Gölcük Tabiat Parkı - Bolu_tmin,Gölcük Tabiat Parkı - Bolu_tmax,Gölcük Tabiat Parkı - Bolu_wspd,Gölcük Tabiat Parkı - Bolu_rhum
2021-12-31,0.16,0.04,0.04,0.0,-3.99,4.44,1.85,90.59
2022-01-01,1.32,1.91,1.91,0.0,-2.06,3.65,1.94,99.01
2022-01-02,1.3,3.3,3.3,0.0,-2.02,2.48,4.66,89.83
2022-01-03,0.47,1.63,1.63,0.0,-6.89,5.98,2.54,75.63
2022-01-04,2.18,0.0,0.0,0.0,-2.63,6.99,3.4,77.41
2022-01-05,3.14,0.0,0.0,0.0,-5.93,10.72,2.49,77.71
2022-01-06,5.76,0.0,0.0,0.0,-2.05,11.76,2.74,71.01
2022-01-07,3.46,0.38,0.0,0.38,-0.81,7.72,1.64,87.36
2022-01-08,3.74,0.0,0.0,0.0,0.14,8.03,1.84,88.37
2022-01-09,5.32,0.09,0.0,0.09,2.44,8.72,3.22,69.42
2022-01-10,4.09,0.52,0.0,0.52,-0.03,6.75,3.52,70.05
2022-01-11,2.57,0.08,0.0,0.08,-0.95,5.22,2.32,85.8
2022-01-12,-1.04,1.15,1.15,0.0,-4.33,1.85,6.42,96.34
2022-01-13,-5.86,2.79,2.79,0.0,-7.35,-4.43,6.54,80.23
2022-01-14,-4.92,0.25,0.25,0.0,-9.57,-1.07,2.73,71.38
2022-01-15,-4.36,0.04,0.04,0.0,-6.98,-1.43,5.61,82.62
2022-01-16,-4.42,18.56,18.56,0.0,-6.89,-1.96,4.67,90.91
2022-01-17,-5.67,1.39,1.39,0.0,-13.97,-0.62,3.18,77.74
2022-01-18,-5.32,6.37,6.37,0.0,-7.67,-3.18,5.97,87.92
2022-01-19,-7.12,30.44,30.44,0.0,-8.8,-5.09,6.61,94.43
2022-01-20,-5.13,6.78,6.78,0.0,-10.53,-0.98,4.08,72.59
2022-01-21,-3.7,0.04,0.04,0.0,-15.55,1.38,3.85,78.22
2022-01-22,-5.74,4.23,4.23,0.0,-7.3,-4.6,4.38,97.02
2022-01-23,-7.17,6.87,6.87,0.0,-8.96,-5.57,5.74,93.73
2022-01-24,-6.96,6.49,6.49,0.0,-10.05,-4.14,3.6,90.91
2022-01-25,-9.53,0.0,0.0,0.0,-12.99,-6.85,2.41,86.21
2022-01-26,-7.34,0.26,0.26,0.0,-10.47,-4.97,3.21,86.11
2022-01-27,-5.95,0.43,0.43,0.0,-9.87,-4.51,4.41,92.85
2022-01-28,-6.52,1.27,1.27,0.0,-11.63,-2.01,3.38,79.8
2022-01-29,-3.72,0.0,0.0,0.0,-7.05,-0.51,2.4,78.84
2022-01-30,-4.44,0.03,0.03,0.0,-12.33,0.63,3.45,84.72
2022-01-31,-2.79,1.91,1.91,0.0,-5.65,0.97,3.92,80.55
2022-02-01,-4.55,0.0,0.0,0.0,-11.04,1.4,2.91,76.33
2022-02-02,2.92,0.47,0.0,0.47,-0.12,5.09,5.38,66.83
2022-02-03,0.91,1.37,1.37,0.0,-3.07,4.45,5.65,78.35
2022-02-04,-4.58,7.11,7.11,0.0,-6.27,-2.72,4.74,83.72
2022-02-05,-6.36,0.25,0.25,0.0,-15.51,0.48,2.06,76.6
2022-02-06,-2.67,0.0,0.0,0.0,-9.7,1.45,2.46,86.33
2022-02-07,-0.08,0.0,0.0,0.0,-9.95,6.38,3.7,72.64
2022-02-08,1.98,1.1,1.1,0.0,-2.64,5.34,4.23,79.59
2022-02-09,-2.92,16.61,16.61,0.0,-4.15,-1.82,5.27,91.35
2022-02-10,-2.34,0.43,0.43,0.0,-4.6,0.43,3.82,78.82
2022-02-11,-0.46,0.0,0.0,0.0,-8.59,6.94,1.86,78.04
2022-02-12,1.63,0.0,0.0,0.0,-8.24,8.86,3.05,73.22
2022-02-13,0.12,0.0,0.0,0.0,-3.84,4.55,3.05,86.37
2022-02-14,-1.2,0.0,0.0,0.0,-2.83,0.48,3.11,92.2
2022-02-15,0.48,0.0,0.0,0.0,-4.25,4.48,2.41,80.13
2022-02-16,1.67,0.0,0.0,0.0,-7.25,7.9,2.07,70.37
2022-02-17,3.14,0.0,0.0,0.0,-6.35,9.02,2.53,60.12
2022-02-18,-0.33,4.7,4.7,0.0,-2.92,2.79,4.36,81.77
2022-02-19,1.75,1.69,1.69,0.0,-4.42,5.6,3.13,77.47
2022-02-20,4.12,0.0,0.0,0.0,-6.09,9.71,3.23,67.6
2022-02-21,6.54,0.01,0.0,0.01,-1.43,12.48,2.69,62.73
2022-02-22,4.67,0.1,0.0,0.1,-2.94,9.56,2.1,73.16
2022-02-23,6.03,0.05,0.0,0.05,0.39,10.72,2.72,79.25
2022-02-24,-1.47,4.13,4.13,0.0,-3.06,0.62,2.76,99.2
2022-02-25,-1.38,20.22,20.22,0.0,-3.21,-0.3,4.46,99.11
2022-02-26,0.29,3.15,3.15,0.0,-2.99,3.01,3.32,86.53
2022-02-27,4.43,0.0,0.0,0.0,-1.47,8.09,2.2,79.35
2022-02-28,1.4,2.53,2.53,0.0,-2.09,5.51,4.35,91.01
2022-03-01,-1.4,3.92,3.92,0.0,-3.91,0.97,6.06,80.11
2022-03-02,-2.04,0.48,0.48,0.0,-4.39,0.2,3.41,85.56
2022-03-03,-3.86,5.82,5.82,0.0,-5.48,-2.23,7.06,94.18
2022-03-04,-1.14,5.16,5.16,0.0,-5.38,1.23,4.47,77.01
2022-03-05,0.12,0.04,0.04,0.0,-5.32,2.97,2.92,74.56
2022-03-06,2.63,0.01,0.0,0.01,-3.75,5.31,2.25,78.65
2022-03-07,0.08,1.6,1.6,0.0,-2.57,2.26,3.59,94.66
2022-03-08,-0.45,3.45,3.45,0.0,-3.7,3.25,4.53,86.47
2022-03-09,-4.1,12.27,12.27,0.0,-5.36,-2.79,3.86,93.11
2022-03-10,-5.21,3.26,3.26,0.0,-7.33,-3.55,4.45,82.81
2022-03-11,-6.73,1.52,1.52,0.0,-9.61,-3.59,6.36,80.35
2022-03-12,-7.14,4.96,4.96,0.0,-12.7,-4.09,5.57,74.54
2022-03-13,-6.07,0.12,0.12,0.0,-14.59,-1.87,3.59,72.05
2022-03-14,-4.88,0.0,0.0,0.0,-12.91,-1.81,3.43,70.5
2022-03-15,-4.14,0.0,0.0,0.0,-7.97,-1.02,4.22,71.6
2022-03-16,-1.82,0.0,0.0,0.0,-10.84,4.73,2.85,68.69
2022-03-17,-1.72,0.16,0.16,0.0,-5.65,1.44,4.64,76.61
2022-03-18,-7.15,1.39,1.39,0.0,-9.66,-3.54,6.43,80.99
2022-03-19,-7.19,7.08,7.08,0.0,-11.34,-4.09,4.35,82.63
2022-03-20,-5.31,0.87,0.87,0.0,-8.81,-2.66,4.75,82.16
2022-03-21,-4.56,1.27,1.27,0.0,-10.78,-1.32,4.56,70.63
2022-03-22,-2.08,0.0,0.0,0.0,-7.37,2.73,4.22,70.28
2022-03-23,-0.86,0.02,0.02,0.0,-4.65,2.87,3.36,75.82
2022-03-24,-2.08,0.15,0.15,0.0,-4.13,0.12,5.35,81.01
2022-03-25,0.12,0.26,0.26,0.0,-8.67,6.24,5.27,67.7
2022-03-26,-2.21,0.72,0.72,0.0,-4.76,1.42,4.92,87.7
2022-03-27,2.45,0.85,0.0,0.85,-9.14,9.75,4.2,65.96
2022-03-28,6.09,0.0,0.0,0.0,-4.38,13.38,3.05,56.81
2022-03-29,6.09,0.01,0.0,0.01,-2.56,11.43,2.26,57.77
2022-03-30,8.85,0.13,0.0,0.13,1.23,13.61,3.38,51.07
2022-03-31,10.99,0.0,0.0,0.0,-0.5,15.11,3.43,45.92
2022-04-01,14.94,0.02,0.0,0.02,7.55,20.27,5.24,31.23
2022-04-02,14.56,0.01,0.0,0.01,7.85,19.0,8.14,24.29
2022-04-03,7.86,0.5,0.0,0.5,3.96,13.16,8.62,49.44
2022-04-04,5.62,0.0,0.0,0.0,-1.93,11.39,4.61,65.69
2022-04-05,4.27,2.92,0.0,2.92,0.9,7.29,2.47,84.64
2022-04-06,6.68,0.0,0.0,0.0,0.81,12.43,3.58,73.03
2022-04-07,8.54,0.31,0.0,0.31,-2.47,15.65,3.65,65.08
2022-04-08,6.82,12.6,0.0,12.6,4.02,10.03,5.91,82.56
2022-04-09,11.77,1.94,0.0,1.94,-1.43,18.61,3.43,58.32
2022-04-10,14.03,0.09,0.0,0.09,3.04,19.75,3.95,49.56
2022-04-11,2.68,0.55,0.0,0.55,-1.33,9.32,7.65,79.47
2022-04-12,0.48,0.01,0.01,0.0,-2.39,3.53,7.77,69.24
2022-04-13,0.6,0.0,0.0,0.0,-4.15,4.34,4.55,59.52
2022-04-14,4.11,0.0,0.0,0.0,-4.43,9.55,3.5,56.66
2022-04-15,7.79,0.0,0.0,0.0,-2.4,14.07,3.29,58.7
2022-04-16,10.62,0.0,0.0,0.0,-1.68,17.14,3.16,57.24
2022-04-17,7.21,1.73,0.0,1.73,1.3,10.04,2.56,73.46
2022-04-18,7.52,0.08,0.0,0.08,3.02,13.2,7.08,78.48
2022-04-19,3.53,1.64,0.0,1.64,0.49,6.0,5.45,88.52
2022-04-20,6.95,0.25,0.0,0.25,-3.24,11.18,4.43,61.48
2022-04-21,7.41,0.0,0.0,0.0,-2.07,10.99,5.21,66.87
2022-04-22,11.45,0.0,0.0,0.0,-0.84,16.42,2.28,64.79
2022-04-23,16.16,0.0,0.0,0.0,2.69,21.25,2.39,51.19
2022-04-24,15.2,0.25,0.0,0.25,3.04,20.7,3.34,55.2
2022-04-25,16.53,0.0,0.0,0.0,2.96,22.78,4.31,54.58
2022-04-26,14.13,0.0,0.0,0.0,4.01,20.39,3.39,55.57
2022-04-27,12.83,0.02,0.0,0.02,3.62,18.5,4.02,58.99
2022-04-28,13.18,0.0,0.0,0.0,3.67,20.05,3.75,65.38
2022-04-29,10.63,0.04,0.0,0.04,4.01,17.15,3.56,78.37
2022-04-30,6.96,0.41,0.0,0.41,5.85,8.09,2.33,95.07
2022-05-01,7.69,7.35,0.0,7.35,4.58,10.59,3.73,82.46
2022-05-02,9.3,0.01,0.0,0.01,1.4,15.87,2.82,74.96
2022-05-03,9.03,0.49,0.0,0.49,5.14,16.57,3.35,88.5
2022-05-04,6.77,7.16,0.0,7.16,3.49,9.08,6.28,82.97
2022-05-05,6.64,0.51,0.0,0.51,2.6,9.49,5.56,73.61
2022-05-06,5.18,0.25,0.0,0.25,1.79,6.49,5.79,77.96
2022-05-07,5.6,0.01,0.0,0.01,3.06,7.37,5.29,78.21
2022-05-08,9.01,0.0,0.0,0.0,-1.51,14.83,4.01,74.62
2022-05-09,10.11,0.0,0.0,0.0,-0.64,15.33,4.51,65.75
2022-05-10,9.82,0.01,0.0,0.01,-1.13,16.71,4.27,65.39
2022-05-11,10.1,1.69,0.0,1.69,0.28,16.35,3.87,64.86
