,Perşembe Yaylası - Ordu_temp,Perşembe Yaylası - Ordu_prcp,Perşembe Yaylası - Ordu_snow,Perşembe Yaylası - Ordu_rain,Perşembe Yaylası - Ordu_tmin,Perşembe Yaylası - Ordu_tmax,Perşembe Yaylası - Ordu_wspd,Perşembe Yaylası - Ordu_rhum
2021-12-31,-0.73,0.0,0.0,0.0,-6.14,3.08,8.89,70.26
2022-01-01,0.66,1.28,1.28,0.0,-2.01,3.31,6.49,80.69
2022-01-02,-0.33,10.2,10.2,0.0,-3.28,2.46,15.31,83.29
2022-01-03,-2.36,0.52,0.52,0.0,-6.98,1.67,9.33,67.14
2022-01-04,-1.14,2.31,2.31,0.0,-4.04,2.23,7.28,66.85
2022-01-05,-0.84,0.0,0.0,0.0,-6.08,6.37,9.6,69.44
2022-01-06,2.86,0.0,0.0,0.0,-3.64,9.98,10.97,56.42
2022-01-07,2.71,0.0,0.0,0.0,-0.67,6.46,8.18,68.37
2022-01-08,1.48,0.0,0.0,0.0,-2.61,5.81,6.71,75.41
2022-01-09,3.72,0.0,0.0,0.0,-2.01,9.39,10.22,55.61
2022-01-10,4.77,1.63,0.0,1.63,2.22,7.92,10.87,52.21
2022-01-11,3.51,0.64,0.0,0.64,-0.05,6.9,5.93,62.19
2022-01-12,0.98,5.97,5.97,0.0,-3.18,3.54,9.52,85.91
2022-01-13,-5.51,9.99,9.99,0.0,-7.28,-3.64,19.92,80.23
2022-01-14,-6.34,0.12,0.12,0.0,-9.52,-3.45,7.03,65.21
2022-01-15,-5.64,1.52,1.52,0.0,-7.9,-2.33,13.3,71.23
2022-01-16,-7.01,3.81,3.81,0.0,-8.63,-5.48,11.32,79.32
2022-01-17,-4.77,3.96,3.96,0.0,-8.14,-1.06,8.54,65.08
2022-01-18,-3.64,3.44,3.44,0.0,-6.33,-0.87,15.28,58.76
2022-01-19,-7.58,2.99,2.99,0.0,-9.29,-5.71,9.55,72.9
2022-01-20,-6.83,1.29,1.29,0.0,-9.47,-4.01,11.92,63.41
2022-01-21,-3.89,0.0,0.0,0.0,-9.99,1.61,14.34,48.74
2022-01-22,-1.74,0.0,0.0,0.0,-4.43,0.55,11.47,66.53
2022-01-23,-5.0,8.12,8.12,0.0,-7.22,-2.65,12.72,82.45
2022-01-24,-6.97,4.26,4.26,0.0,-8.99,-5.37,9.79,85.48
2022-01-25,-8.78,4.31,4.31,0.0,-14.13,-6.46,6.89,73.91
2022-01-26,-8.37,6.41,6.41,0.0,-9.75,-6.97,8.72,88.31
2022-01-27,-6.94,6.85,6.85,0.0,-8.79,-3.34,6.88,75.48
2022-01-28,-7.74,0.53,0.53,0.0,-10.58,-3.16,8.24,66.56
2022-01-29,-7.31,0.0,0.0,0.0,-10.73,-3.73,9.58,59.81
2022-01-30,-7.05,0.18,0.18,0.0,-11.2,-2.91,6.35,62.93
2022-01-31,-3.32,3.04,3.04,0.0,-6.02,-0.56,6.16,81.04
2022-02-01,-3.74,7.11,7.11,0.0,-6.28,-0.63,4.48,86.99
2022-02-02,2.81,0.0,0.0,0.0,-3.41,7.25,10.28,58.41
2022-02-03,4.22,0.04,0.0,0.04,0.66,7.74,11.97,49.52
2022-02-04,-2.56,5.13,5.13,0.0,-5.77,1.52,21.13,76.95
2022-02-05,-4.32,2.72,2.72,0.0,-6.98,-0.6,8.6,62.26
2022-02-06,-3.26,0.0,0.0,0.0,-8.12,0.36,8.29,61.06
2022-02-07,-1.7,0.44,0.44,0.0,-8.26,4.13,9.32,61.09
2022-02-08,4.84,0.04,0.0,0.04,-1.55,8.53,15.57,44.51
2022-02-09,0.65,6.42,6.42,0.0,-4.09,4.48,18.2,69.59
2022-02-10,-3.65,3.06,3.06,0.0,-5.78,-0.78,13.13,75.93
2022-02-11,-3.21,0.58,0.58,0.0,-8.21,1.88,6.56,67.94
2022-02-12,-1.21,0.0,0.0,0.0,-6.3,5.72,7.08,58.71
2022-02-13,-2.11,0.93,0.93,0.0,-6.18,1.51,7.4,79.25
2022-02-14,-2.55,0.09,0.09,0.0,-4.58,-1.06,6.14,81.05
2022-02-15,-2.39,3.56,3.56,0.0,-4.41,0.69,3.59,73.5
2022-02-16,-2.26,0.0,0.0,0.0,-5.51,1.79,6.23,66.94
2022-02-17,-2.78,0.0,0.0,0.0,-9.37,3.49,9.8,58.0
2022-02-18,0.01,0.18,0.18,0.0,-5.05,5.8,11.1,53.83
2022-02-19,-0.95,1.48,1.48,0.0,-4.12,1.6,9.02,78.29
2022-02-20,0.62,0.0,0.0,0.0,-4.15,6.24,7.64,64.12
2022-02-21,2.37,0.2,0.0,0.2,-1.24,7.7,6.53,65.49
2022-02-22,2.19,0.32,0.0,0.32,-3.59,7.55,9.65,68.27
2022-02-23,5.84,0.2,0.0,0.2,0.75,11.27,10.66,59.08
2022-02-24,2.47,0.69,0.0,0.69,-1.2,6.07,9.39,72.29
2022-02-25,1.58,5.4,5.4,0.0,0.02,3.73,8.88,87.38
2022-02-26,-0.29,11.14,11.14,0.0,-1.52,1.14,11.87,87.2
2022-02-27,0.27,1.34,1.34,0.0,-2.03,3.23,5.29,83.18
2022-02-28,2.03,0.12,0.0,0.12,-1.5,7.24,6.06,76.14
2022-03-01,-0.35,5.14,5.14,0.0,-2.59,2.29,9.2,80.88
2022-03-02,-2.18,2.28,2.28,0.0,-3.76,-0.2,7.84,88.63
2022-03-03,-4.26,8.45,8.45,0.0,-6.07,-2.63,17.39,88.48
2022-03-04,-2.59,11.06,11.06,0.0,-5.95,0.88,9.88,66.77
2022-03-05,-2.32,0.0,0.0,0.0,-6.61,2.39,6.3,64.86
2022-03-06,-1.07,0.0,0.0,0.0,-4.39,2.82,6.56,71.35
