,Yedigöller Milli Parkı - Bolu_temp,Yedigöller Milli Parkı - Bolu_prcp,Yedigöller Milli Parkı - Bolu_snow,Yedigöller Milli Parkı - Bolu_rain,Yedigöller Milli Parkı - Bolu_tmin,Yedigöller Milli Parkı - Bolu_tmax,Yedigöller Milli Parkı - Bolu_wspd,Yedigöller Milli Parkı - Bolu_rhum
2021-12-31,2.65,0.24,0.0,0.24,-0.72,5.57,2.26,91.26
2022-01-01,3.71,1.54,0.0,1.54,0.88,5.54,2.44,97.44
2022-01-02,3.39,3.3,0.0,3.3,0.36,4.74,5.35,90.19
2022-01-03,3.31,1.49,0.0,1.49,-3.99,8.88,3.72,71.25
2022-01-04,5.41,0.0,0.0,0.0,1.45,9.09,4.42,73.04
2022-01-05,6.91,0.0,0.0,0.0,-1.91,13.48,3.31,69.96
2022-01-06,9.21,0.0,0.0,0.0,1.18,14.65,3.7,65.05
2022-01-07,5.41,0.53,0.0,0.53,2.08,9.66,2.8,86.4
2022-01-08,5.52,0.0,0.0,0.0,2.37,9.16,2.34,90.68
2022-01-09,6.91,0.0,0.0,0.0,3.87,10.7,3.32,73.98
2022-01-10,6.04,0.38,0.0,0.38,1.53,9.74,3.86,69.22
2022-01-11,4.32,0.0,0.0,0.0,0.81,6.84,4.12,84.53
2022-01-12,0.6,2.73,2.73,0.0,-2.7,3.89,10.11,96.05
2022-01-13,-3.68,3.69,3.69,0.0,-4.98,-2.41,7.33,78.9
2022-01-14,-2.48,0.18,0.18,0.0,-6.52,1.03,3.9,71.4
2022-01-15,-1.57,0.04,0.04,0.0,-4.24,1.37,8.01,79.04
2022-01-16,-2.37,14.31,14.31,0.0,-4.28,0.3,5.82,89.37
2022-01-17,-2.4,3.49,3.49,0.0,-9.72,2.55,4.38,72.63
2022-01-18,-2.54,8.28,8.28,0.0,-4.88,-0.64,9.24,81.07
2022-01-19,-4.62,22.7,22.7,0.0,-6.29,-2.85,8.56,90.47
2022-01-20,-2.42,5.23,5.23,0.0,-7.21,1.46,5.44,66.96
2022-01-21,-0.68,0.0,0.0,0.0,-9.76,5.45,6.18,72.89
2022-01-22,-4.0,4.9,4.9,0.0,-5.39,-2.84,4.67,96.72
2022-01-23,-5.18,5.48,5.48,0.0,-6.71,-3.64,5.72,93.77
2022-01-24,-4.75,5.88,5.88,0.0,-7.82,-1.97,4.27,89.7
2022-01-25,-6.66,0.0,0.0,0.0,-10.0,-4.0,2.79,87.2
2022-01-26,-4.94,0.45,0.45,0.0,-7.35,-2.99,4.31,88.26
2022-01-27,-3.49,0.47,0.47,0.0,-6.63,-2.2,5.47,92.64
2022-01-28,-3.3,0.9,0.9,0.0,-8.28,0.78,5.01,75.51
2022-01-29,-1.09,0.0,0.0,0.0,-3.89,1.91,3.68,74.23
2022-01-30,-1.35,0.0,0.0,0.0,-8.49,3.1,3.84,80.62
2022-01-31,0.13,1.19,1.19,0.0,-3.18,3.65,5.28,75.37
2022-02-01,-0.96,0.0,0.0,0.0,-7.55,4.59,4.58,68.89
2022-02-02,5.4,0.55,0.0,0.55,1.36,8.18,7.51,63.41
2022-02-03,2.59,1.8,0.0,1.8,-1.07,6.47,6.84,81.37
2022-02-04,-2.25,7.52,7.52,0.0,-3.89,-0.39,5.52,80.89
2022-02-05,-2.78,0.18,0.18,0.0,-11.14,3.39,2.88,71.77
2022-02-06,0.29,0.0,0.0,0.0,-5.66,4.09,3.23,82.09
2022-02-07,3.9,0.0,0.0,0.0,-6.03,9.88,5.72,64.82
2022-02-08,3.78,4.09,0.0,4.09,-0.2,6.87,5.99,79.4
2022-02-09,-0.76,16.45,16.45,0.0,-1.91,0.4,7.25,88.62
2022-02-10,-0.13,0.54,0.54,0.0,-2.38,2.7,3.51,81.2
2022-02-11,2.31,0.0,0.0,0.0,-5.82,8.82,2.21,73.31
2022-02-12,4.25,0.0,0.0,0.0,-5.08,10.66,3.63,70.12
2022-02-13,2.12,0.0,0.0,0.0,-0.87,5.55,4.0,86.99
2022-02-14,0.92,0.11,0.11,0.0,-0.28,2.46,3.53,91.11
2022-02-15,2.13,0.04,0.0,0.04,-2.01,6.18,2.62,81.6
2022-02-16,3.82,0.0,0.0,0.0,-4.55,9.58,2.73,67.79
2022-02-17,6.08,0.0,0.0,0.0,-2.68,11.18,3.41,55.12
2022-02-18,2.37,5.3,0.0,5.3,-0.29,5.5,5.65,78.17
