Lokasyon Adı,Rakım (m),Yol Türü & Yüzey Durumu,En Yakın Hastane,Has. Mesafe (km),Ort. Eğim (%),Ziyaretci_2022,Ziyaretci_2023,Ziyaretci_2024,Ziyaretci_2025,Bölge,Has. Varış Süresi (Dk)
Borçka Karagöl Tabiat Parkı,1471,20 km Asfalt + 6 km Stabilize,Borçka D.H.,26,5.08,80000,85000,90000,94299,Doğu Karadeniz,47.5
Elevit Yaylası,1944,56 km Asfalt + 20-25 km Toprak,Kaçkar D.H.,76,2.54,40000,45000,50000,55000,Doğu Karadeniz,107.5
Şaşvat karagöl,1630,Tamamı Asfalt,Şavşat D.H.,25,2.92,35000,40000,44000,46000,Doğu Karadeniz,37.5
Hıdırnebi yaylası,1413,Tamamı Asfalt,Haçkalı Baba D.H.,29,4.83,150000,165000,180000,200000,Doğu Karadeniz,42.5
Kuzalan şelalesi Tabiat Parkı,807,Tamamı Asfalt,Dereli D.H.,15,4.38,100000,110000,120000,135000,Doğu Karadeniz,22.5
Kümbet yaylası,1705,Tamamı Asfalt,Dereli D.H.,30,5.18,200000,220000,235000,250000,Doğu Karadeniz,37.5
Perşembe Yaylası,1444,Tamamı Asfalt,Aybastı D.H.,17,4.37,1000000,1100000,1200000,1400000,Orta Karadeniz,22.5
Ulugöl Tabiat Parkı,1224,Tamamı Asfalt,Gölköy D.H.,17,2.37,200000,230000,260000,300000,Orta Karadeniz,32.5
Şahinkaya Kanyonu,188,Tamamı Asfalt (Virajlı),Vezirköprü D.H.,18,0.62,150000,165000,180000,200000,Orta Karadeniz,37.5
Erfelek Tatlıca Şelaleleri,491,Tamamı Asfalt,Erfelek D.H.,10,4.41,250000,270000,290000,320000,Orta Karadeniz,22.5
Horma Kanyonu,630,Tamamı Asfalt,Pınarbaşı D.H.,5,0.5,200000,250000,280000,320000,Batı Karadeniz,7.5
Valla Kanyonu,498,14 km Asfalt + 12 km Stabilize + Yaya,Pınarbaşı D.H.,26,0.58,100000,120000,135000,150000,Batı Karadeniz,42.5
Yedigöller Milli Parkı,900,Asfalt (Dar ve Yüksek Virajlı),Bolu İzzet B. D.H.,42,0.4,180000,207824,324075,350000,Batı Karadeniz,67.5
Abant Gölü Tabiat Parkı,1335,Tamamı Asfalt,Bolu İzzet B. D.H.,35,1.72,500000,571162,1490302,1600000,Batı Karadeniz,42.5
Güzeldere selalesi Tabiat Parkı,651,Tamamı Asfalt (Eğimli Tırmanış),Düzce Atatürk D.H,21.4,2.55,100000,115000,130000,145000,Batı Karadeniz,32.5
Gölcük Tabiat Parkı,1217,Tamamı Asfalt,Bolu İzzet B. D.H.,15,3.24,450000,488610,412081,450000,Batı Karadeniz,22.5
