gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,temp,prcp,snow,rain,wspd,rhum,tatil_mi,ay,hafta_indeksi,Lokasyon Adı,Rakım (m),En Yakın Hastane,Has. Mesafe (km),Ort. Eğim (%),Ziyaretci_2022,Ziyaretci_2023,Ziyaretci_2024,Ziyaretci_2025,Has. Varış Süresi (Dk),Yol Türü & Yüzey Durumu_14 km Asfalt + 12 km Stabilize + Yaya,Yol Türü & Yüzey Durumu_20 km Asfalt + 6 km Stabilize,Yol Türü & Yüzey Durumu_56 km Asfalt + 20-25 km Toprak,Yol Türü & Yüzey Durumu_Asfalt (Dar ve Yüksek Virajlı),Yol Türü & Yüzey Durumu_Tamamı Asfalt,Yol Türü & Yüzey Durumu_Tamamı Asfalt (Eğimli Tırmanış),Yol Türü & Yüzey Durumu_Tamamı Asfalt (Virajlı),Bölge_Batı Karadeniz,Bölge_Doğu Karadeniz,Bölge_Orta Karadeniz
18989,16,4.89,1186.79,0.23,7.53,7.53,0.0,3.44,88.28,0,1,1,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
23736,20,4.69,1186.79,3.2,2.52,0.0,2.52,3.24,79.16,0,1,2,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
18991,16,4.98,1186.79,-4.38,38.19,38.19,0.0,5.3,82.61,0,1,3,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
13056,11,4.86,1186.79,-6.75,61.95,61.95,0.0,5.39,85.14,0,1,4,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
13055,11,4.87,1186.79,-6.11,5.55,5.55,0.0,3.78,81.95,0,2,5,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
15429,13,4.69,1186.79,-2.21,17.63,17.14,0.49,4.56,76.65,0,2,6,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
23736,20,4.58,1186.79,-1.32,36.84,36.84,0.0,4.43,82.64,0,2,7,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
21363,18,5.0,1186.79,1.38,10.61,10.61,0.0,3.16,72.72,0,2,8,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
15428,13,4.78,1186.79,0.69,48.04,45.84,2.2,4.6,86.02,0,3,9,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
13055,11,4.75,1186.79,-2.0,19.34,19.34,0.0,4.93,81.57,0,3,10,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
15429,13,4.92,1186.79,-6.26,29.38,29.38,0.0,5.23,80.68,0,3,11,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
10682,9,5.0,1186.79,-5.69,16.78,16.78,0.0,4.75,78.63,0,3,12,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
8309,7,5.0,1186.79,-0.98,4.89,4.87,0.02,4.66,74.29,0,3,13,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
16616,14,4.88,1186.79,8.54,1.25,0.0,1.25,5.85,51.95,0,4,14,Abant Gölü Tabiat Parkı,1335,Bolu İzzet B. D.H.,35.0,1.72,500000,571162,1490302,1600000,42.5,0,0,0,0,1,0,0,1,0,0
