Lokasyon Adı,Rakım (m),Yol Türü & Yüzey Durumu,En Yakın Hastane,Has. Mesafe (km),Ort. Eğim (%),Ziyaretci_2024,Ziyaretci_2025,Bölge,Has. Varış Süresi (Dk)
Ayder Yaylası,1298,Tamamı Asfalt,Kaçkar D.H.,55,2.34,1000000,1150000,Doğu Karadeniz,47.5
Borçka Karagöl,1471,20 km Asfalt + 6 km Stabilize,Borçka D.H.,26,5.08,600000,850000,Doğu Karadeniz,47.5
Elevit Yaylası,1944,56 km Asfalt + 20-25 km Toprak,Kaçkar D.H.,76,2.54,45000,60000,Doğu Karadeniz,107.5
Şavşat Karagöl,1630,Tamamı Asfalt,Şavşat D.H.,25,2.92,350000,400000,Doğu Karadeniz,37.5
Hıdırnebi Yaylası,1413,Tamamı Asfalt,Haçkalı Baba D.H.,29,4.83,400000,450000,Doğu Karadeniz,42.5
Kuzalan Şelalesi,807,Tamamı Asfalt,Dereli D.H.,15,4.38,210000,230000,Doğu Karadeniz,22.5
Kümbet Yaylası,1705,Tamamı Asfalt,Dereli D.H.,30,5.18,350000,380000,Doğu Karadeniz,37.5
Perşembe Yaylası,1444,Tamamı Asfalt,Aybastı D.H.,17,4.37,1800000,1500000,Orta Karadeniz,22.5
Ulugöl Tabiat P.,1224,Tamamı Asfalt,Gölköy D.H.,17,2.37,280000,300000,Orta Karadeniz,32.5
Şahinkaya Kany.,188,Tamamı Asfalt (Virajlı),Vezirköprü D.H.,18,0.62,100000,115000,Orta Karadeniz,37.5
Erfelek Şelaleleri,491,Tamamı Asfalt,Erfelek D.H.,10,4.41,220000,260000,Orta Karadeniz,22.5
Horma Kanyonu,630,Tamamı Asfalt,Pınarbaşı D.H.,5,0.5,180000,210000,Batı Karadeniz,7.5
Valla Kanyonu,498,14 km Asfalt + 12 km Stabilize + Yaya,Pınarbaşı D.H.,26,0.58,100000,120000,Batı Karadeniz,42.5
Yedigöller,900,Asfalt (Dar ve Yüksek Virajlı),Bolu İzzet B. D.H.,42,0.4,289209,324075,Batı Karadeniz,67.5
Sülüklü Göl,1080,9 km Stabilize Toprak + Asfalt,Akyazı D.H,40,2.57,1100,1194,Batı Karadeniz,37.5
Abant Gölü,1335,Tamamı Asfalt,Bolu İzzet B. D.H.,35,1.72,1490302,1500000,Batı Karadeniz,42.5
Güzeldere Şel.,651,Tamamı Asfalt (Eğimli Tırmanış),Düzce Atatürk D.H,21.4,2.55,110000,130000,Batı Karadeniz,32.5
Gölcük Tab. P.,1217,Tamamı Asfalt,Bolu İzzet B. D.H.,15,3.24,524251,412081,Batı Karadeniz,22.5
