tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Abant Gölü Tabiat Parkı - Bolu_temp,Abant Gölü Tabiat Parkı - Bolu_prcp,Abant Gölü Tabiat Parkı - Bolu_snow,Abant Gölü Tabiat Parkı - Bolu_rain,Abant Gölü Tabiat Parkı - Bolu_wspd,Abant Gölü Tabiat Parkı - Bolu_rhum
2022.01.03 - 2022.01.09,18989.0,16.0,4.89,1186.79,0.23,7.53,7.53,0.0,3.44,88.28
2022.01.10 - 2022.01.16,23736.0,20.0,4.69,1186.79,3.2,2.52,0.0,2.52,3.24,79.16
2022.01.17 - 2022.01.23,18991.0,16.0,4.98,1186.79,-4.38,38.19,38.19,0.0,5.3,82.61
2022.01.24 - 2022.01.30,13056.0,11.0,4.86,1186.79,-6.75,61.95,61.95,0.0,5.39,85.14
2022.01.31 - 2022.02.06,13055.0,11.0,4.87,1186.79,-6.11,5.55,5.55,0.0,3.78,81.95
2022.02.07 - 2022.02.13,15429.0,13.0,4.69,1186.79,-2.21,17.63,17.14,0.49,4.56,76.65
2022.02.14 - 2022.02.20,23736.0,20.0,4.58,1186.79,-1.32,36.84,36.84,0.0,4.43,82.64
2022.02.21 - 2022.02.27,21363.0,18.0,5.0,1186.79,1.38,10.61,10.61,0.0,3.16,72.72
2022.02.28 - 2022.03.06,15428.0,13.0,4.78,1186.79,0.69,48.04,45.84,2.2,4.6,86.02
2022.03.07 - 2022.03.13,13055.0,11.0,4.75,1186.79,-2.0,19.34,19.34,0.0,4.93,81.57
2022.03.14 - 2022.03.20,15429.0,13.0,4.92,1186.79,-6.26,29.38,29.38,0.0,5.23,80.68
2022.03.21 - 2022.03.27,10682.0,9.0,5.0,1186.79,-5.69,16.78,16.78,0.0,4.75,78.63
2022.03.28 - 2022.04.03,8309.0,7.0,5.0,1186.79,-0.98,4.89,4.87,0.02,4.66,74.29
2022.04.04 - 2022.04.10,16616.0,14.0,4.88,1186.79,8.54,1.25,0.0,1.25,5.85,51.95
2022.04.11 - 2022.04.17,3561.0,3.0,5.0,1186.79,6.23,24.33,7.99,16.34,5.08,73.11
2022.04.18 - 2022.04.24,8308.0,7.0,4.67,1186.79,3.8,8.57,2.47,6.1,4.68,68.81
2022.04.25 - 2022.05.01,2374.0,2.0,4.5,1186.79,8.69,3.09,2.66,0.43,4.2,68.05
2022.05.02 - 2022.05.08,13055.0,11.0,4.75,1186.79,8.54,9.64,0.0,9.64,4.64,75.51
2022.05.09 - 2022.05.15,30856.0,26.0,4.89,1186.79,5.62,10.48,0.0,10.48,5.53,78.53
2022.05.16 - 2022.05.22,11868.0,10.0,4.95,1186.79,10.71,8.58,0.0,8.58,4.24,61.86
2022.05.23 - 2022.05.29,24924.0,21.0,4.27,1186.79,11.59,14.99,0.0,14.99,5.46,65.38
2022.05.30 - 2022.06.05,24922.0,21.0,4.9,1186.79,16.63,1.65,0.0,1.65,5.04,61.22
2022.06.06 - 2022.06.12,17801.0,15.0,4.53,1186.79,15.5,1.43,0.0,1.43,5.35,74.1
2022.06.13 - 2022.06.19,15429.0,13.0,4.92,1186.79,14.04,55.68,0.0,55.68,4.35,78.46
2022.06.20 - 2022.06.26,11868.0,10.0,4.94,1186.79,15.61,12.19,0.0,12.19,5.38,76.1
2022.06.27 - 2022.07.03,14243.0,12.0,4.79,1186.79,13.58,49.85,0.0,49.85,5.42,79.03
2022.07.04 - 2022.07.10,9495.0,8.0,4.35,1186.79,15.29,45.92,0.0,45.92,4.96,76.4
2022.07.11 - 2022.07.17,16616.0,14.0,4.88,1186.79,15.7,18.41,0.0,18.41,4.63,76.7
2022.07.18 - 2022.07.24,52220.0,44.0,4.67,1186.79,15.51,2.15,0.0,2.15,5.83,70.7
2022.07.25 - 2022.07.31,43913.0,37.0,4.81,1186.79,16.61,0.35,0.0,0.35,5.03,63.65
2022.08.01 - 2022.08.07,62901.0,53.0,4.82,1186.79,18.81,0.99,0.0,0.99,5.15,70.03
2022.08.08 - 2022.08.14,35604.0,30.0,4.79,1186.79,18.62,1.31,0.0,1.31,5.9,72.08
2022.08.15 - 2022.08.21,43912.0,37.0,4.63,1186.79,16.99,42.34,0.0,42.34,4.51,78.43
2022.08.22 - 2022.08.28,47472.0,40.0,4.73,1186.79,18.62,3.54,0.0,3.54,3.79,72.65
2022.08.29 - 2022.09.04,43912.0,37.0,4.74,1186.79,18.54,12.41,0.0,12.41,3.69,76.23
2022.09.05 - 2022.09.11,30856.0,26.0,4.73,1186.79,17.65,8.74,0.0,8.74,4.47,79.67
2022.09.12 - 2022.09.18,33231.0,28.0,4.6,1186.79,14.3,6.59,0.0,6.59,4.49,69.19
2022.09.19 - 2022.09.25,27296.0,23.0,4.7,1186.79,14.45,2.36,0.0,2.36,3.9,64.71
2022.09.26 - 2022.10.02,15429.0,13.0,4.81,1186.79,7.5,10.41,0.0,10.41,4.44,71.65
2022.10.03 - 2022.10.09,28484.0,24.0,4.17,1186.79,12.65,9.94,0.0,9.94,3.55,69.86
2022.10.10 - 2022.10.16,22549.0,19.0,4.67,1186.79,7.68,30.32,0.0,30.32,4.52,86.25
2022.10.17 - 2022.10.23,13056.0,11.0,4.57,1186.79,8.25,30.88,0.0,30.88,4.27,86.94
2022.10.24 - 2022.10.30,18990.0,16.0,4.86,1186.79,6.94,3.85,0.0,3.85,3.83,76.18
2022.10.31 - 2022.11.06,21362.0,18.0,4.93,1186.79,5.57,0.47,0.0,0.47,2.76,79.59
2022.11.07 - 2022.11.13,35603.0,30.0,4.87,1186.79,6.17,1.1,0.0,1.1,2.53,74.11
2022.11.14 - 2022.11.20,23737.0,20.0,4.68,1186.79,3.74,0.14,0.0,0.14,2.64,79.33
2022.11.21 - 2022.11.27,28482.0,24.0,4.57,1186.79,8.41,4.15,0.0,4.15,4.83,66.5
2022.11.28 - 2022.12.04,15429.0,13.0,4.64,1186.79,3.05,29.09,23.35,5.74,4.43,81.99
2022.12.05 - 2022.12.11,14242.0,12.0,4.87,1186.79,2.98,11.2,0.04,11.16,2.73,88.77
2022.12.12 - 2022.12.18,23737.0,20.0,4.83,1186.79,5.48,7.6,0.0,7.6,3.97,74.77
2022.12.19 - 2022.12.25,11870.0,10.0,4.75,1186.79,4.29,25.28,16.52,8.76,4.08,84.31
2022.12.26 - 2023.01.01,9495.0,8.0,4.73,1186.79,-1.02,16.91,16.91,0.0,3.31,78.7
2023.01.02 - 2023.01.08,21716.0,17.0,4.35,1260.11,0.07,2.57,2.57,0.0,2.07,82.55
2023.01.09 - 2023.01.15,20208.0,14.0,4.62,1443.42,-1.18,2.57,2.57,0.0,2.58,78.62
2023.01.16 - 2023.01.22,27424.0,19.0,4.84,1443.42,1.96,2.47,0.23,2.24,4.29,74.55
2023.01.23 - 2023.01.29,14433.0,10.0,4.87,1443.42,5.42,0.0,0.0,0.0,6.19,61.43
2023.01.30 - 2023.02.05,24537.0,17.0,4.93,1443.42,0.12,14.18,13.04,1.14,5.52,75.87
2023.02.06 - 2023.02.12,28868.0,20.0,4.72,1443.42,-3.89,20.48,20.48,0.0,6.04,81.53
2023.02.13 - 2023.02.19,18764.0,13.0,4.58,1443.42,-5.36,24.85,24.85,0.0,4.38,81.79
2023.02.20 - 2023.02.26,17321.0,12.0,4.33,1443.42,-0.36,13.0,13.0,0.0,6.8,72.29
2023.02.27 - 2023.03.05,8660.0,6.0,4.5,1443.42,5.29,2.4,0.0,2.4,5.86,65.98
2023.03.06 - 2023.03.12,11546.0,8.0,4.95,1443.42,3.27,34.23,20.47,13.76,4.53,83.98
2023.03.13 - 2023.03.19,8659.0,6.0,5.0,1443.42,4.77,22.58,20.78,1.8,6.74,71.79
2023.03.20 - 2023.03.26,8659.0,6.0,4.75,1443.42,1.83,45.47,38.13,7.34,5.11,84.41
2023.03.27 - 2023.04.02,5772.0,4.0,5.0,1443.42,4.24,3.91,0.92,2.99,4.33,79.13
2023.04.03 - 2023.04.09,15878.0,11.0,4.58,1443.42,2.98,42.1,15.38,26.72,6.59,73.81
2023.04.10 - 2023.04.16,1443.0,1.0,4.0,1443.42,4.39,25.13,4.67,20.46,5.79,77.56
2023.04.17 - 2023.04.23,15877.0,11.0,4.43,1443.42,7.75,17.54,0.0,17.54,6.33,71.46
2023.04.24 - 2023.04.30,12990.0,9.0,4.83,1443.42,7.1,13.54,0.0,13.54,5.28,76.23
2023.05.01 - 2023.05.07,24538.0,17.0,4.89,1443.42,5.43,44.82,0.97,43.85,5.97,74.89
2023.05.08 - 2023.05.14,25981.0,18.0,4.82,1443.42,7.8,10.51,0.0,10.51,5.49,73.4
2023.05.15 - 2023.05.21,10104.0,7.0,4.75,1443.42,7.64,6.7,0.0,6.7,6.32,78.91
2023.05.22 - 2023.05.28,21651.0,15.0,4.64,1443.42,10.8,28.29,0.0,28.29,5.78,80.04
2023.05.29 - 2023.06.04,5773.0,4.0,5.0,1443.42,10.88,14.81,0.0,14.81,4.55,84.59
2023.06.05 - 2023.06.11,18765.0,13.0,4.88,1443.42,11.67,65.68,0.0,65.68,5.19,80.88
2023.06.12 - 2023.06.18,14433.0,10.0,5.0,1443.42,13.92,2.47,0.0,2.47,5.38,78.51
2023.06.19 - 2023.06.25,25982.0,18.0,4.83,1443.42,14.01,50.65,0.0,50.65,5.51,80.44
2023.06.26 - 2023.07.02,24538.0,17.0,4.8,1443.42,15.57,39.96,0.0,39.96,5.32,75.14
2023.07.03 - 2023.07.09,64955.0,45.0,4.79,1443.42,16.25,7.92,0.0,7.92,5.13,70.88
2023.07.10 - 2023.07.16,47632.0,33.0,4.6,1443.42,16.71,74.73,0.0,74.73,5.75,77.82
2023.07.17 - 2023.07.23,37529.0,26.0,4.7,1443.42,18.33,0.0,0.0,0.0,5.48,67.91
2023.07.24 - 2023.07.30,59183.0,41.0,4.48,1443.42,19.73,2.93,0.0,2.93,5.26,66.8
