tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Elevit Yaylası - Rize_temp,Elevit Yaylası - Rize_prcp,Elevit Yaylası - Rize_snow,Elevit Yaylası - Rize_rain,Elevit Yaylası - Rize_wspd,Elevit Yaylası - Rize_rhum
2022.01.03 - 2022.01.09,0.0,0.0,,205.13,-5.65,46.31,46.31,0.0,9.55,78.74
2022.01.10 - 2022.01.16,205.0,1.0,5.0,205.13,-2.68,13.06,13.06,0.0,10.29,60.74
2022.01.17 - 2022.01.23,0.0,0.0,,205.13,-7.3,107.38,107.38,0.0,9.45,77.32
2022.01.24 - 2022.01.30,205.0,1.0,3.0,205.13,-8.63,50.93,50.93,0.0,10.41,71.39
2022.01.31 - 2022.02.06,205.0,1.0,5.0,205.13,-7.86,47.45,47.45,0.0,8.6,71.44
2022.02.07 - 2022.02.13,0.0,0.0,,205.13,-5.15,46.01,46.01,0.0,10.62,70.0
2022.02.14 - 2022.02.20,0.0,0.0,,205.13,-4.85,26.46,26.46,0.0,9.06,71.63
2022.02.21 - 2022.02.27,205.0,1.0,5.0,205.13,-4.67,6.83,6.83,0.0,6.02,73.16
2022.02.28 - 2022.03.06,0.0,0.0,,205.13,-1.32,24.38,24.38,0.0,8.47,73.46
2022.03.07 - 2022.03.13,0.0,0.0,,205.13,-4.82,55.1,55.1,0.0,8.63,77.84
2022.03.14 - 2022.03.20,0.0,0.0,,205.13,-9.06,93.85,93.85,0.0,8.41,84.68
2022.03.21 - 2022.03.27,0.0,0.0,,205.13,-10.21,89.85,89.85,0.0,7.42,85.3
2022.03.28 - 2022.04.03,205.0,1.0,5.0,205.13,-5.99,15.65,15.65,0.0,7.01,80.69
2022.04.04 - 2022.04.10,0.0,0.0,,205.13,3.39,0.4,0.4,0.0,10.3,58.09
2022.04.11 - 2022.04.17,0.0,0.0,,205.13,1.87,26.73,25.98,0.75,8.92,71.72
2022.04.18 - 2022.04.24,0.0,0.0,,205.13,-0.15,39.67,39.67,0.0,9.25,70.21
2022.04.25 - 2022.05.01,0.0,0.0,,205.13,1.66,10.1,9.87,0.23,6.47,77.09
2022.05.02 - 2022.05.08,0.0,0.0,,205.13,1.85,24.89,24.89,0.0,5.83,81.17
2022.05.09 - 2022.05.15,1641.0,8.0,4.12,205.13,-0.03,46.05,46.05,0.0,6.51,87.45
2022.05.16 - 2022.05.22,410.0,2.0,5.0,205.13,3.67,0.86,0.07,0.79,6.65,74.08
2022.05.23 - 2022.05.29,615.0,3.0,5.0,205.13,4.05,33.37,28.73,4.64,8.58,73.37
2022.05.30 - 2022.06.05,410.0,2.0,4.5,205.13,6.18,16.07,13.84,2.23,6.31,75.1
2022.06.06 - 2022.06.12,615.0,3.0,3.67,205.13,10.02,3.52,0.0,3.52,6.25,76.87
2022.06.13 - 2022.06.19,820.0,4.0,4.75,205.13,10.36,19.38,0.0,19.38,6.84,82.08
2022.06.20 - 2022.06.26,820.0,4.0,4.5,205.13,9.64,17.74,0.0,17.74,5.91,83.51
2022.06.27 - 2022.07.03,615.0,3.0,5.0,205.13,7.58,78.12,0.0,78.12,7.22,82.39
2022.07.04 - 2022.07.10,1436.0,7.0,5.0,205.13,9.92,18.21,0.0,18.21,6.93,82.33
2022.07.11 - 2022.07.17,1640.0,8.0,4.93,205.13,11.65,9.18,0.0,9.18,6.96,80.65
2022.07.18 - 2022.07.24,3281.0,16.0,4.82,205.13,9.8,12.53,0.0,12.53,7.09,85.03
2022.07.25 - 2022.07.31,3691.0,18.0,4.69,205.13,9.53,25.6,0.0,25.6,8.39,78.94
2022.08.01 - 2022.08.07,2871.0,14.0,4.58,205.13,12.45,2.01,0.0,2.01,6.39,80.26
2022.08.08 - 2022.08.14,2256.0,11.0,4.8,205.13,13.88,10.22,0.0,10.22,6.25,82.16
2022.08.15 - 2022.08.21,3692.0,18.0,4.83,205.13,12.8,22.1,0.0,22.1,6.67,83.46
2022.08.22 - 2022.08.28,4309.0,21.0,4.62,205.13,12.86,41.88,0.0,41.88,7.0,84.49
2022.08.29 - 2022.09.04,1640.0,8.0,4.9,205.13,14.35,3.07,0.0,3.07,6.46,77.94
2022.09.05 - 2022.09.11,1435.0,7.0,4.4,205.13,13.57,131.1,0.0,131.1,7.5,78.09
2022.09.12 - 2022.09.18,1435.0,7.0,4.83,205.13,9.18,62.84,0.0,62.84,8.3,74.16
