tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Erfelek Tatlıca Şelaleleri - Sinop_temp,Erfelek Tatlıca Şelaleleri - Sinop_prcp,Erfelek Tatlıca Şelaleleri - Sinop_snow,Erfelek Tatlıca Şelaleleri - Sinop_rain,Erfelek Tatlıca Şelaleleri - Sinop_wspd,Erfelek Tatlıca Şelaleleri - Sinop_rhum
2022.01.03 - 2022.01.09,0.0,0.0,,303.77,5.78,11.76,0.0,11.76,17.89,78.12
2022.01.10 - 2022.01.16,304.0,1.0,0.0,303.77,9.64,3.92,0.0,3.92,11.78,69.11
2022.01.17 - 2022.01.23,304.0,1.0,0.0,303.77,2.56,39.75,20.92,18.83,18.13,76.53
2022.01.24 - 2022.01.30,304.0,1.0,0.0,303.77,0.77,51.66,50.63,1.03,17.72,74.36
2022.01.31 - 2022.02.06,0.0,0.0,,303.77,1.48,12.78,8.46,4.32,11.76,73.01
2022.02.07 - 2022.02.13,608.0,2.0,0.5,303.77,4.97,12.79,5.06,7.73,15.14,67.15
2022.02.14 - 2022.02.20,0.0,0.0,,303.77,4.51,9.12,0.0,9.12,13.86,73.49
2022.02.21 - 2022.02.27,0.0,0.0,,303.77,5.87,4.33,0.0,4.33,10.65,70.83
2022.02.28 - 2022.03.06,0.0,0.0,,303.77,6.28,21.69,0.0,21.69,14.04,84.55
2022.03.07 - 2022.03.13,0.0,0.0,,303.77,3.24,44.22,20.24,23.98,13.75,81.63
2022.03.14 - 2022.03.20,304.0,1.0,0.0,303.77,-0.16,23.47,20.82,2.65,14.73,77.62
2022.03.21 - 2022.03.27,912.0,3.0,0.0,303.77,0.29,19.05,17.9,1.15,14.35,76.79
2022.03.28 - 2022.04.03,0.0,0.0,,303.77,4.33,2.26,0.0,2.26,14.42,69.92
2022.04.04 - 2022.04.10,608.0,2.0,0.0,303.77,12.27,0.41,0.0,0.41,12.86,53.94
2022.04.11 - 2022.04.17,304.0,1.0,0.0,303.77,8.87,12.99,0.0,12.99,14.87,82.71
2022.04.18 - 2022.04.24,1216.0,4.0,0.17,303.77,7.25,4.39,0.0,4.39,18.6,76.12
2022.04.25 - 2022.05.01,304.0,1.0,0.0,303.77,8.38,1.48,0.0,1.48,14.7,80.98
2022.05.02 - 2022.05.08,1216.0,4.0,0.0,303.77,10.07,2.88,0.0,2.88,10.14,85.05
2022.05.09 - 2022.05.15,2127.0,7.0,0.0,303.77,8.75,21.79,0.0,21.79,14.37,85.83
2022.05.16 - 2022.05.22,1216.0,4.0,0.0,303.77,12.57,0.0,0.0,0.0,9.47,69.0
2022.05.23 - 2022.05.29,3645.0,12.0,0.0,303.77,13.65,8.58,0.0,8.58,13.63,70.39
2022.05.30 - 2022.06.05,3038.0,10.0,0.0,303.77,14.73,2.85,0.0,2.85,12.95,79.87
2022.06.06 - 2022.06.12,2431.0,8.0,0.0,303.77,16.85,0.29,0.0,0.29,12.24,84.35
2022.06.13 - 2022.06.19,3646.0,12.0,0.1,303.77,18.5,7.72,0.0,7.72,14.81,84.48
2022.06.20 - 2022.06.26,3039.0,10.0,0.2,303.77,19.43,0.3,0.0,0.3,11.59,76.33
2022.06.27 - 2022.07.03,3949.0,13.0,0.06,303.77,17.89,93.57,0.0,93.57,16.29,78.72
2022.07.04 - 2022.07.10,4860.0,16.0,0.04,303.77,19.31,4.7,0.0,4.7,8.94,77.85
2022.07.11 - 2022.07.17,10328.0,34.0,0.0,303.77,20.7,6.11,0.0,6.11,12.2,78.67
2022.07.18 - 2022.07.24,23390.0,77.0,0.01,303.77,20.42,16.07,0.0,16.07,12.39,74.08
2022.07.25 - 2022.07.31,10936.0,36.0,0.12,303.77,20.69,2.39,0.0,2.39,12.6,70.2
2022.08.01 - 2022.08.07,14581.0,48.0,0.12,303.77,21.95,0.16,0.0,0.16,10.33,75.92
2022.08.08 - 2022.08.14,23390.0,77.0,0.05,303.77,22.61,4.44,0.0,4.44,9.63,77.24
2022.08.15 - 2022.08.21,20352.0,67.0,0.06,303.77,22.94,4.46,0.0,4.46,12.65,77.22
2022.08.22 - 2022.08.28,23087.0,76.0,0.09,303.77,23.22,4.06,0.0,4.06,8.46,74.92
2022.08.29 - 2022.09.04,20353.0,67.0,0.03,303.77,23.74,1.35,0.0,1.35,9.16,78.96
2022.09.05 - 2022.09.11,20353.0,67.0,0.02,303.77,22.69,12.0,0.0,12.0,12.6,79.59
2022.09.12 - 2022.09.18,9417.0,31.0,0.0,303.77,18.7,21.99,0.0,21.99,11.66,69.69
2022.09.19 - 2022.09.25,9418.0,31.0,0.02,303.77,19.38,8.21,0.0,8.21,11.93,69.69
2022.09.26 - 2022.10.02,6076.0,20.0,0.04,303.77,14.79,27.5,0.0,27.5,12.7,75.58
2022.10.03 - 2022.10.09,3950.0,13.0,0.0,303.77,18.43,12.38,0.0,12.38,10.07,70.74
2022.10.10 - 2022.10.16,1520.0,5.0,0.0,303.77,15.16,20.71,0.0,20.71,12.79,78.02
2022.10.17 - 2022.10.23,2128.0,7.0,0.0,303.77,14.12,10.85,0.0,10.85,8.09,76.62
2022.10.24 - 2022.10.30,1520.0,5.0,0.12,303.77,12.17,10.01,0.0,10.01,12.36,78.34
2022.10.31 - 2022.11.06,3950.0,13.0,0.0,303.77,12.09,3.97,0.0,3.97,12.42,80.9
2022.11.07 - 2022.11.13,2735.0,9.0,0.2,303.77,11.54,4.81,0.0,4.81,12.31,78.1
2022.11.14 - 2022.11.20,1216.0,4.0,0.0,303.77,10.27,2.06,0.0,2.06,7.87,79.11
2022.11.21 - 2022.11.27,1216.0,4.0,0.0,303.77,13.97,1.16,0.0,1.16,10.29,65.57
2022.11.28 - 2022.12.04,1823.0,6.0,0.0,303.77,10.66,10.16,0.0,10.16,16.01,76.13
2022.12.05 - 2022.12.11,608.0,2.0,0.0,303.77,9.58,9.79,0.0,9.79,9.89,85.49
2022.12.12 - 2022.12.18,608.0,2.0,0.5,303.77,10.82,23.26,0.0,23.26,9.84,70.93
2022.12.19 - 2022.12.25,1520.0,5.0,0.0,303.77,9.58,49.1,0.0,49.1,13.11,81.36
2022.12.26 - 2023.01.01,912.0,3.0,0.0,303.77,5.79,22.84,0.0,22.84,11.34,77.89
2023.01.02 - 2023.01.08,304.0,1.0,0.0,288.08,6.7,11.48,0.0,11.48,9.45,74.0
2023.01.09 - 2023.01.15,249.0,1.0,1.0,248.85,5.35,22.26,0.0,22.26,12.46,79.63
2023.01.16 - 2023.01.22,996.0,4.0,0.0,248.85,6.81,0.43,0.0,0.43,9.99,76.12
2023.01.23 - 2023.01.29,498.0,2.0,0.5,248.85,9.64,0.0,0.0,0.0,12.47,62.74
2023.01.30 - 2023.02.05,1992.0,8.0,0.12,248.85,6.15,8.4,0.0,8.4,14.15,75.97
2023.02.06 - 2023.02.12,498.0,2.0,0.5,248.85,2.67,30.46,0.0,30.46,14.89,77.81
2023.02.13 - 2023.02.19,0.0,0.0,,248.85,0.52,23.71,23.71,0.0,18.61,76.28
2023.02.20 - 2023.02.26,0.0,0.0,,248.85,4.65,36.56,10.47,26.09,20.92,66.29
2023.02.27 - 2023.03.05,249.0,1.0,0.0,248.85,8.13,2.06,0.0,2.06,15.1,63.41
2023.03.06 - 2023.03.12,249.0,1.0,0.0,248.85,6.15,34.37,0.0,34.37,11.05,87.79
2023.03.13 - 2023.03.19,996.0,4.0,0.25,248.85,9.05,22.41,0.0,22.41,12.97,68.85
2023.03.20 - 2023.03.26,498.0,2.0,0.0,248.85,5.59,12.26,0.0,12.26,11.85,88.08
2023.03.27 - 2023.04.02,249.0,1.0,0.0,248.85,6.95,9.44,0.0,9.44,14.06,84.55
2023.04.03 - 2023.04.09,249.0,1.0,0.0,248.85,6.75,27.64,2.48,25.16,18.22,72.83
2023.04.10 - 2023.04.16,498.0,2.0,0.0,248.85,7.89,18.59,0.0,18.59,16.51,83.56
2023.04.17 - 2023.04.23,498.0,2.0,0.0,248.85,10.19,8.72,0.0,8.72,11.19,75.47
2023.04.24 - 2023.04.30,3484.0,14.0,0.0,248.85,9.3,17.64,0.0,17.64,12.4,83.32
2023.05.01 - 2023.05.07,1742.0,7.0,0.0,248.85,9.62,12.56,0.0,12.56,18.01,77.31
2023.05.08 - 2023.05.14,1991.0,8.0,0.05,248.85,9.78,20.66,0.0,20.66,14.29,82.79
2023.05.15 - 2023.05.21,996.0,4.0,0.0,248.85,10.2,11.28,0.0,11.28,12.48,78.83
2023.05.22 - 2023.05.28,4480.0,18.0,0.0,248.85,12.13,6.5,0.0,6.5,12.71,84.36
2023.05.29 - 2023.06.04,2241.0,9.0,0.14,248.85,14.01,5.41,0.0,5.41,8.4,90.7
2023.06.05 - 2023.06.11,2739.0,11.0,0.08,248.85,15.38,83.23,0.0,83.23,13.35,87.7
2023.06.12 - 2023.06.18,3485.0,14.0,0.0,248.85,16.56,4.0,0.0,4.0,9.56,83.89
2023.06.19 - 2023.06.25,5724.0,23.0,0.04,248.85,17.92,10.04,0.0,10.04,12.29,83.38
2023.06.26 - 2023.07.02,7466.0,30.0,0.02,248.85,19.33,6.54,0.0,6.54,15.12,79.15
