tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Gölcük Tabiat Parkı - Bolu_temp,Gölcük Tabiat Parkı - Bolu_prcp,Gölcük Tabiat Parkı - Bolu_snow,Gölcük Tabiat Parkı - Bolu_rain,Gölcük Tabiat Parkı - Bolu_wspd,Gölcük Tabiat Parkı - Bolu_rhum
2022.01.03 - 2022.01.09,1368.0,6.0,5.0,228.08,1.03,6.84,6.84,0.0,3.05,88.16
2022.01.10 - 2022.01.16,4561.0,20.0,4.9,228.08,3.96,0.99,0.0,0.99,2.69,77.33
2022.01.17 - 2022.01.23,3648.0,16.0,5.0,228.08,-3.39,24.26,24.18,0.08,4.5,83.57
2022.01.24 - 2022.01.30,3192.0,14.0,5.0,228.08,-5.88,61.22,61.22,0.0,4.89,87.83
2022.01.31 - 2022.02.06,5017.0,22.0,5.0,228.08,-5.76,3.9,3.9,0.0,3.31,84.15
2022.02.07 - 2022.02.13,5929.0,26.0,4.95,228.08,-2.06,9.2,8.73,0.47,3.84,77.26
2022.02.14 - 2022.02.20,4333.0,19.0,4.75,228.08,-0.46,18.14,18.14,0.0,3.48,82.8
2022.02.21 - 2022.02.27,7526.0,33.0,4.82,228.08,2.48,6.4,6.39,0.01,2.92,71.46
2022.02.28 - 2022.03.06,8667.0,38.0,4.78,228.08,2.0,30.18,30.03,0.15,3.13,86.8
2022.03.07 - 2022.03.13,6386.0,28.0,4.9,228.08,-0.8,17.03,17.02,0.01,4.25,83.53
2022.03.14 - 2022.03.20,3192.0,14.0,4.83,228.08,-4.94,25.58,25.58,0.0,4.54,79.98
2022.03.21 - 2022.03.27,2964.0,13.0,4.8,228.08,-4.56,10.77,10.77,0.0,4.54,76.19
2022.03.28 - 2022.04.03,6385.0,28.0,5.0,228.08,0.2,2.0,1.15,0.85,4.34,72.18
2022.04.04 - 2022.04.10,4104.0,18.0,4.88,228.08,9.84,0.67,0.0,0.67,5.1,46.49
2022.04.11 - 2022.04.17,3648.0,16.0,4.92,228.08,7.83,18.41,0.0,18.41,4.38,70.38
2022.04.18 - 2022.04.24,2736.0,12.0,4.83,228.08,5.48,1.82,0.01,1.81,4.56,64.76
2022.04.25 - 2022.05.01,2964.0,13.0,4.94,228.08,11.03,2.14,0.0,2.14,3.92,63.23
2022.05.02 - 2022.05.08,4105.0,18.0,4.94,228.08,10.67,7.83,0.0,7.83,3.37,72.97
2022.05.09 - 2022.05.15,15966.0,70.0,4.91,228.08,7.48,8.42,0.0,8.42,4.97,77.37
2022.05.16 - 2022.05.22,12544.0,55.0,4.89,228.08,12.63,12.26,0.0,12.26,3.57,58.15
2022.05.23 - 2022.05.29,8666.0,38.0,4.92,228.08,13.51,4.55,0.0,4.55,4.97,62.85
2022.05.30 - 2022.06.05,13685.0,60.0,4.78,228.08,18.47,2.3,0.0,2.3,4.94,57.48
2022.06.06 - 2022.06.12,9351.0,41.0,4.85,228.08,17.33,1.81,0.0,1.81,4.52,72.37
