tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Horma Kanyonu - Kastamonu_temp,Horma Kanyonu - Kastamonu_prcp,Horma Kanyonu - Kastamonu_snow,Horma Kanyonu - Kastamonu_rain,Horma Kanyonu - Kastamonu_wspd,Horma Kanyonu - Kastamonu_rhum
2022.01.03 - 2022.01.09,266.0,1.0,5.0,265.6,4.74,1.42,0.0,1.42,11.59,81.23
2022.01.10 - 2022.01.16,532.0,2.0,5.0,265.6,7.62,0.32,0.0,0.32,9.67,74.58
2022.01.17 - 2022.01.23,266.0,1.0,5.0,265.6,0.61,14.7,13.76,0.94,12.18,81.9
2022.01.24 - 2022.01.30,266.0,1.0,5.0,265.6,-1.82,12.04,12.04,0.0,12.3,81.63
2022.01.31 - 2022.02.06,0.0,0.0,,265.6,-1.08,0.37,0.16,0.21,10.83,79.09
2022.02.07 - 2022.02.13,1594.0,6.0,5.0,265.6,2.78,1.74,1.23,0.51,11.21,72.86
2022.02.14 - 2022.02.20,531.0,2.0,5.0,265.6,3.03,4.0,0.29,3.71,9.32,80.82
2022.02.21 - 2022.02.27,0.0,0.0,,265.6,5.08,1.37,0.0,1.37,7.81,69.64
2022.02.28 - 2022.03.06,1064.0,4.0,5.0,265.6,5.8,14.74,0.0,14.74,7.84,87.46
2022.03.07 - 2022.03.13,266.0,1.0,5.0,265.6,2.22,11.9,9.8,2.1,9.02,85.62
2022.03.14 - 2022.03.20,532.0,2.0,5.0,265.6,-1.7,6.31,5.16,1.15,9.69,80.46
2022.03.21 - 2022.03.27,532.0,2.0,5.0,265.6,-1.0,7.72,7.72,0.0,9.26,77.32
2022.03.28 - 2022.04.03,798.0,3.0,5.0,265.6,3.71,2.38,1.15,1.23,11.1,72.51
2022.04.04 - 2022.04.10,0.0,0.0,,265.6,13.12,2.67,0.0,2.67,11.45,51.99
2022.04.11 - 2022.04.17,798.0,3.0,5.0,265.6,10.54,17.34,0.0,17.34,8.92,75.75
2022.04.18 - 2022.04.24,1595.0,6.0,5.0,265.6,8.39,0.95,0.0,0.95,11.07,69.87
2022.04.25 - 2022.05.01,797.0,3.0,5.0,265.6,11.55,0.33,0.0,0.33,8.17,71.7
2022.05.02 - 2022.05.08,2656.0,10.0,4.75,265.6,12.39,8.54,0.0,8.54,6.45,78.8
2022.05.09 - 2022.05.15,7702.0,29.0,5.0,265.6,9.22,4.55,0.0,4.55,7.8,85.12
2022.05.16 - 2022.05.22,4515.0,17.0,4.98,265.6,14.64,0.41,0.0,0.41,7.56,61.96
2022.05.23 - 2022.05.29,7171.0,27.0,4.94,265.6,14.86,0.42,0.0,0.42,10.21,65.75
2022.05.30 - 2022.06.05,3454.0,13.0,4.63,265.6,17.95,3.04,0.0,3.04,7.18,65.45
2022.06.06 - 2022.06.12,6640.0,25.0,4.87,265.6,19.5,4.93,0.0,4.93,6.75,73.91
2022.06.13 - 2022.06.19,2656.0,10.0,4.88,265.6,18.34,28.61,0.0,28.61,7.44,84.13
2022.06.20 - 2022.06.26,2392.0,9.0,4.96,265.6,18.39,6.22,0.0,6.22,7.91,79.6
2022.06.27 - 2022.07.03,3453.0,13.0,5.0,265.6,16.77,81.48,0.0,81.48,11.64,83.04
2022.07.04 - 2022.07.10,2392.0,9.0,5.0,265.6,18.42,46.33,0.0,46.33,7.52,79.2
2022.07.11 - 2022.07.17,2922.0,11.0,4.7,265.6,19.76,11.65,0.0,11.65,9.22,75.75
2022.07.18 - 2022.07.24,16200.0,61.0,5.0,265.6,19.41,7.07,0.0,7.07,9.02,75.29
2022.07.25 - 2022.07.31,9560.0,36.0,4.96,265.6,19.31,1.63,0.0,1.63,9.38,69.09
2022.08.01 - 2022.08.07,9560.0,36.0,5.0,265.6,21.4,0.04,0.0,0.04,7.87,70.89
2022.08.08 - 2022.08.14,9561.0,36.0,4.94,265.6,22.68,4.96,0.0,4.96,7.8,75.02
