tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Hıdırnebi yaylası - Trabzon_temp,Hıdırnebi yaylası - Trabzon_prcp,Hıdırnebi yaylası - Trabzon_snow,Hıdırnebi yaylası - Trabzon_rain,Hıdırnebi yaylası - Trabzon_wspd,Hıdırnebi yaylası - Trabzon_rhum
2022.01.03 - 2022.01.09,113.0,1.0,5.0,113.12,-1.16,7.44,7.44,0.0,8.66,78.6
2022.01.10 - 2022.01.16,226.0,2.0,5.0,113.12,1.42,3.05,2.74,0.31,9.58,63.69
2022.01.17 - 2022.01.23,0.0,0.0,,113.12,-2.56,14.86,13.18,1.68,11.4,74.3
2022.01.24 - 2022.01.30,0.0,0.0,,113.12,-4.54,13.09,13.09,0.0,12.8,68.46
2022.01.31 - 2022.02.06,0.0,0.0,,113.12,-4.72,10.82,10.82,0.0,9.58,69.17
2022.02.07 - 2022.02.13,113.0,1.0,5.0,113.12,-0.42,7.32,7.19,0.13,13.27,65.69
2022.02.14 - 2022.02.20,113.0,1.0,3.0,113.12,-0.56,6.55,3.74,2.81,10.48,68.53
2022.02.21 - 2022.02.27,113.0,1.0,5.0,113.12,-1.24,2.75,2.75,0.0,7.05,74.39
2022.02.28 - 2022.03.06,0.0,0.0,,113.12,1.6,4.06,3.93,0.13,9.78,78.46
2022.03.07 - 2022.03.13,226.0,2.0,5.0,113.12,-1.49,15.58,15.58,0.0,9.75,77.61
2022.03.14 - 2022.03.20,0.0,0.0,,113.12,-5.22,24.12,24.12,0.0,11.39,81.35
2022.03.21 - 2022.03.27,0.0,0.0,,113.12,-6.14,17.91,17.91,0.0,10.14,80.54
2022.03.28 - 2022.04.03,0.0,0.0,,113.12,-2.16,3.12,3.12,0.0,8.25,74.25
2022.04.04 - 2022.04.10,339.0,3.0,4.67,113.12,6.06,0.43,0.0,0.43,11.94,54.84
2022.04.11 - 2022.04.17,0.0,0.0,,113.12,4.54,7.41,0.25,7.16,9.34,76.57
2022.04.18 - 2022.04.24,226.0,2.0,5.0,113.12,2.4,10.18,10.15,0.03,9.87,70.04
