tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Kümbet yaylası - Giresun_temp,Kümbet yaylası - Giresun_prcp,Kümbet yaylası - Giresun_snow,Kümbet yaylası - Giresun_rain,Kümbet yaylası - Giresun_wspd,Kümbet yaylası - Giresun_rhum
2022.01.03 - 2022.01.09,635.0,2.0,5.0,317.46,-3.29,18.97,18.97,0.0,9.48,77.82
2022.01.10 - 2022.01.16,951.0,3.0,5.0,317.46,-1.11,6.37,6.01,0.36,11.44,64.65
2022.01.17 - 2022.01.23,317.0,1.0,5.0,317.46,-4.92,35.34,35.34,0.0,10.26,74.78
2022.01.24 - 2022.01.30,317.0,1.0,4.0,317.46,-6.98,23.91,23.91,0.0,11.84,70.79
2022.01.31 - 2022.02.06,0.0,0.0,,317.46,-7.09,26.51,26.51,0.0,9.0,71.9
2022.02.07 - 2022.02.13,317.0,1.0,4.0,317.46,-2.5,19.18,19.05,0.13,11.28,68.05
2022.02.14 - 2022.02.20,951.0,3.0,5.0,317.46,-2.61,17.61,17.61,0.0,9.86,71.05
2022.02.21 - 2022.02.27,634.0,2.0,5.0,317.46,-3.05,9.06,9.06,0.0,7.04,72.63
2022.02.28 - 2022.03.06,317.0,1.0,5.0,317.46,-0.33,10.49,10.46,0.03,9.57,78.41
2022.03.07 - 2022.03.13,317.0,1.0,5.0,317.46,-3.51,34.58,34.58,0.0,8.82,78.53
2022.03.14 - 2022.03.20,317.0,1.0,5.0,317.46,-7.7,62.4,62.4,0.0,9.77,83.38
2022.03.21 - 2022.03.27,0.0,0.0,,317.46,-8.29,46.48,46.48,0.0,9.21,81.22
2022.03.28 - 2022.04.03,634.0,2.0,5.0,317.46,-4.03,5.46,5.46,0.0,7.06,74.5
2022.04.04 - 2022.04.10,0.0,0.0,,317.46,4.32,0.55,0.0,0.55,11.73,57.64
2022.04.11 - 2022.04.17,317.0,1.0,5.0,317.46,2.76,14.5,2.33,12.17,9.0,75.31
2022.04.18 - 2022.04.24,0.0,0.0,,317.46,0.52,22.61,22.58,0.03,9.64,70.21
2022.04.25 - 2022.05.01,634.0,2.0,5.0,317.46,2.45,4.05,4.02,0.03,7.25,78.49
2022.05.02 - 2022.05.08,1587.0,5.0,4.5,317.46,4.12,15.78,0.0,15.78,6.01,82.27
2022.05.09 - 2022.05.15,6349.0,20.0,4.84,317.46,1.84,30.64,27.6,3.04,8.55,88.42
2022.05.16 - 2022.05.22,1586.0,5.0,5.0,317.46,5.18,4.53,0.0,4.53,6.24,72.97
2022.05.23 - 2022.05.29,2221.0,7.0,4.62,317.46,5.82,16.78,0.0,16.78,8.66,71.64
2022.05.30 - 2022.06.05,3174.0,10.0,4.81,317.46,7.56,8.34,0.0,8.34,6.22,77.22
2022.06.06 - 2022.06.12,3809.0,12.0,4.85,317.46,13.0,1.92,0.0,1.92,6.42,79.31
2022.06.13 - 2022.06.19,3809.0,12.0,4.0,317.46,12.05,15.62,0.0,15.62,6.49,84.15
2022.06.20 - 2022.06.26,2221.0,7.0,4.6,317.46,12.24,9.05,0.0,9.05,6.3,79.75
2022.06.27 - 2022.07.03,4444.0,14.0,4.67,317.46,10.95,19.07,0.0,19.07,8.16,76.32
2022.07.04 - 2022.07.10,6030.0,19.0,4.85,317.46,12.09,12.45,0.0,12.45,8.41,77.92
2022.07.11 - 2022.07.17,5079.0,16.0,4.8,317.46,14.61,5.76,0.0,5.76,6.91,77.1
2022.07.18 - 2022.07.24,15556.0,49.0,4.67,317.46,13.01,45.14,0.0,45.14,9.05,79.3
2022.07.25 - 2022.07.31,11429.0,36.0,4.6,317.46,12.51,15.15,0.0,15.15,9.9,73.58
2022.08.01 - 2022.08.07,11746.0,37.0,4.73,317.46,15.64,0.08,0.0,0.08,6.6,72.06
2022.08.08 - 2022.08.14,15556.0,49.0,4.62,317.46,15.77,12.52,0.0,12.52,6.7,79.62
2022.08.15 - 2022.08.21,10477.0,33.0,4.58,317.46,16.85,4.01,0.0,4.01,6.31,78.13
2022.08.22 - 2022.08.28,14603.0,46.0,4.65,317.46,16.68,23.45,0.0,23.45,6.32,80.29
2022.08.29 - 2022.09.04,11746.0,37.0,4.83,317.46,18.17,2.9,0.0,2.9,6.28,73.62
2022.09.05 - 2022.09.11,10792.0,34.0,4.73,317.46,16.81,33.56,0.0,33.56,8.4,74.17
2022.09.12 - 2022.09.18,10476.0,33.0,4.76,317.46,12.57,19.46,0.0,19.46,8.7,68.33
2022.09.19 - 2022.09.25,9841.0,31.0,4.67,317.46,14.26,25.76,0.0,25.76,8.79,70.54
2022.09.26 - 2022.10.02,6030.0,19.0,4.67,317.46,9.17,49.82,0.0,49.82,8.28,77.05
2022.10.03 - 2022.10.09,5079.0,16.0,4.6,317.46,12.23,18.31,0.0,18.31,7.51,67.84
2022.10.10 - 2022.10.16,4444.0,14.0,4.53,317.46,8.59,67.06,0.0,67.06,7.17,81.19
2022.10.17 - 2022.10.23,2538.0,8.0,4.67,317.46,7.46,12.32,0.0,12.32,5.91,80.65
2022.10.24 - 2022.10.30,951.0,3.0,4.67,317.46,5.1,40.15,12.39,27.76,8.04,80.19
2022.10.31 - 2022.11.06,1586.0,5.0,4.75,317.46,5.0,4.44,0.0,4.44,7.34,73.7
