tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Perşembe Yaylası - Ordu_temp,Perşembe Yaylası - Ordu_prcp,Perşembe Yaylası - Ordu_snow,Perşembe Yaylası - Ordu_rain,Perşembe Yaylası - Ordu_wspd,Perşembe Yaylası - Ordu_rhum
2022.01.03 - 2022.01.09,0.0,0.0,,1173.71,-0.68,12.0,12.0,0.0,10.38,77.04
2022.01.10 - 2022.01.16,1174.0,1.0,5.0,1173.71,1.94,3.94,2.31,1.63,9.12,63.47
2022.01.17 - 2022.01.23,0.0,0.0,,1173.71,-3.54,26.01,25.37,0.64,10.79,72.74
2022.01.24 - 2022.01.30,0.0,0.0,,1173.71,-5.09,20.1,20.1,0.0,12.15,68.32
2022.01.31 - 2022.02.06,7042.0,6.0,4.88,1173.71,-7.07,21.32,21.32,0.0,7.55,72.58
2022.02.07 - 2022.02.13,2348.0,2.0,5.0,1173.71,-1.22,15.44,15.4,0.04,10.58,65.18
2022.02.14 - 2022.02.20,4695.0,4.0,4.83,1173.71,-1.03,11.12,11.08,0.04,10.58,68.14
2022.02.21 - 2022.02.27,2348.0,2.0,5.0,1173.71,-0.77,5.42,5.22,0.2,7.7,65.74
2022.02.28 - 2022.03.06,4696.0,4.0,4.5,1173.71,2.01,19.21,17.88,1.33,8.83,76.22
2022.03.07 - 2022.03.13,1174.0,1.0,5.0,1173.71,-1.84,28.25,28.25,0.0,9.01,76.57
2022.03.14 - 2022.03.20,4695.0,4.0,4.83,1173.71,-5.67,42.49,42.49,0.0,12.88,75.77
2022.03.21 - 2022.03.27,3522.0,3.0,4.67,1173.71,-6.03,29.64,29.64,0.0,10.71,75.48
2022.03.28 - 2022.04.03,1174.0,1.0,5.0,1173.71,-1.66,2.92,2.92,0.0,8.31,66.87
2022.04.04 - 2022.04.10,4695.0,4.0,5.0,1173.71,7.88,0.69,0.0,0.69,10.87,48.77
2022.04.11 - 2022.04.17,4695.0,4.0,5.0,1173.71,5.51,10.84,0.0,10.84,9.02,67.54
2022.04.18 - 2022.04.24,0.0,0.0,,1173.71,3.06,20.61,20.22,0.39,9.5,67.24
2022.04.25 - 2022.05.01,4696.0,4.0,4.0,1173.71,5.33,4.38,0.0,4.38,7.78,71.31
2022.05.02 - 2022.05.08,9390.0,8.0,5.0,1173.71,6.79,8.74,0.0,8.74,8.83,73.21
2022.05.09 - 2022.05.15,18779.0,16.0,4.71,1173.71,3.73,27.64,0.0,27.64,9.95,82.38
2022.05.16 - 2022.05.22,9389.0,8.0,4.9,1173.71,7.25,0.4,0.0,0.4,6.89,65.22
2022.05.23 - 2022.05.29,12910.0,11.0,4.92,1173.71,7.9,11.43,0.0,11.43,9.06,65.87
2022.05.30 - 2022.06.05,18780.0,16.0,4.94,1173.71,10.59,9.02,0.0,9.02,7.09,71.74
2022.06.06 - 2022.06.12,15257.0,13.0,5.0,1173.71,13.56,1.27,0.0,1.27,8.59,76.3
2022.06.13 - 2022.06.19,19953.0,17.0,4.17,1173.71,13.9,26.35,0.0,26.35,7.62,79.88
2022.06.20 - 2022.06.26,18780.0,16.0,4.79,1173.71,13.77,17.32,0.0,17.32,7.71,74.96
2022.06.27 - 2022.07.03,19953.0,17.0,4.79,1173.71,12.53,18.52,0.0,18.52,8.19,73.16
2022.07.04 - 2022.07.10,24647.0,21.0,4.64,1173.71,13.54,11.86,0.0,11.86,8.7,76.56
2022.07.11 - 2022.07.17,39907.0,34.0,4.39,1173.71,15.39,1.55,0.0,1.55,8.28,72.91
2022.07.18 - 2022.07.24,83334.0,71.0,4.58,1173.71,14.26,31.84,0.0,31.84,11.22,75.5
2022.07.25 - 2022.07.31,48123.0,41.0,4.56,1173.71,13.91,8.6,0.0,8.6,10.71,71.18
2022.08.01 - 2022.08.07,61033.0,52.0,4.83,1173.71,15.74,0.09,0.0,0.09,7.81,70.36
2022.08.08 - 2022.08.14,63381.0,54.0,4.73,1173.71,17.37,7.46,0.0,7.46,8.51,75.49
2022.08.15 - 2022.08.21,57513.0,49.0,4.66,1173.71,17.45,1.8,0.0,1.8,8.02,74.36
2022.08.22 - 2022.08.28,63380.0,54.0,4.75,1173.71,17.6,10.57,0.0,10.57,7.39,76.09
2022.08.29 - 2022.09.04,89201.0,76.0,4.78,1173.71,19.14,3.04,0.0,3.04,7.78,73.36
2022.09.05 - 2022.09.11,56339.0,48.0,4.53,1173.71,18.16,23.81,0.0,23.81,9.57,74.91
2022.09.12 - 2022.09.18,48123.0,41.0,4.69,1173.71,12.59,14.45,0.0,14.45,7.96,67.8
2022.09.19 - 2022.09.25,24648.0,21.0,4.64,1173.71,14.6,19.73,0.0,19.73,8.94,66.11
2022.09.26 - 2022.10.02,29345.0,25.0,4.66,1173.71,9.71,42.1,0.0,42.1,8.59,75.38
2022.10.03 - 2022.10.09,25821.0,22.0,4.86,1173.71,12.56,13.77,0.0,13.77,7.67,66.72
2022.10.10 - 2022.10.16,11736.0,10.0,4.93,1173.71,9.05,42.68,0.0,42.68,8.6,80.4
2022.10.17 - 2022.10.23,12911.0,11.0,4.65,1173.71,8.3,7.94,0.0,7.94,6.84,80.6
2022.10.24 - 2022.10.30,9390.0,8.0,5.0,1173.71,6.54,24.54,0.0,24.54,9.0,76.95
2022.10.31 - 2022.11.06,9390.0,8.0,4.9,1173.71,4.83,3.39,0.0,3.39,6.41,75.63
2022.11.07 - 2022.11.13,5869.0,5.0,5.0,1173.71,4.7,11.63,0.0,11.63,6.22,74.37
2022.11.14 - 2022.11.20,8216.0,7.0,4.6,1173.71,3.54,6.89,0.0,6.89,5.0,83.58
2022.11.21 - 2022.11.27,7042.0,6.0,4.89,1173.71,6.83,1.96,0.0,1.96,9.18,62.5
2022.11.28 - 2022.12.04,8217.0,7.0,4.8,1173.71,4.8,45.62,0.0,45.62,8.62,73.04
