tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Ulugöl Tabiat Parkı - Ordu_temp,Ulugöl Tabiat Parkı - Ordu_prcp,Ulugöl Tabiat Parkı - Ordu_snow,Ulugöl Tabiat Parkı - Ordu_rain,Ulugöl Tabiat Parkı - Ordu_wspd,Ulugöl Tabiat Parkı - Ordu_rhum
2022.01.03 - 2022.01.09,0.0,0.0,,682.59,-0.39,14.14,14.14,0.0,10.31,80.24
2022.01.10 - 2022.01.16,1366.0,2.0,4.0,682.59,2.05,4.47,3.04,1.43,13.22,69.03
2022.01.17 - 2022.01.23,683.0,1.0,5.0,682.59,-2.88,45.95,39.61,6.34,11.81,77.15
2022.01.24 - 2022.01.30,2731.0,4.0,5.0,682.59,-5.0,23.97,23.97,0.0,13.96,74.3
2022.01.31 - 2022.02.06,1366.0,2.0,3.0,682.59,-6.6,31.92,31.92,0.0,9.58,80.48
2022.02.07 - 2022.02.13,0.0,0.0,,682.59,-0.64,17.13,17.1,0.03,12.89,72.25
2022.02.14 - 2022.02.20,0.0,0.0,,682.59,-0.76,13.33,5.83,7.5,12.77,73.44
2022.02.21 - 2022.02.27,0.0,0.0,,682.59,-0.55,6.88,6.71,0.17,7.63,73.83
2022.02.28 - 2022.03.06,2048.0,3.0,5.0,682.59,3.3,22.47,15.24,7.23,11.72,79.47
2022.03.07 - 2022.03.13,683.0,1.0,5.0,682.59,-0.36,34.58,34.58,0.0,10.41,78.47
2022.03.14 - 2022.03.20,683.0,1.0,5.0,682.59,-4.89,51.51,51.51,0.0,12.63,79.42
2022.03.21 - 2022.03.27,0.0,0.0,,682.59,-5.53,60.7,60.7,0.0,11.72,78.53
2022.03.28 - 2022.04.03,0.0,0.0,,682.59,-0.88,3.55,3.09,0.46,8.48,70.5
2022.04.04 - 2022.04.10,683.0,1.0,5.0,682.59,9.1,0.76,0.0,0.76,14.41,50.49
2022.04.11 - 2022.04.17,683.0,1.0,5.0,682.59,8.01,12.84,0.0,12.84,12.04,63.43
2022.04.18 - 2022.04.24,0.0,0.0,,682.59,4.88,21.78,21.34,0.44,11.9,66.24
